organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
811632082,NEXER ASSET MANAGEMENT AS,,kundreskontrasweden@nexergroup.com,,,False,
811738042,NESTTUNVEGEN 99 INVEST AS,,,,,False,
811766682,NUNATAK DEVELOPMENT AS,,ejr@live.no,,47 06 66 32,False,
811790192,NE-EIENDOM AS,,,,,False,
811793442,NORGESGRUPPEN MIDT-NORGE AS,,,73936050,,True,
811814822,NOUR CONSULTING AS,,nourconsulting@outlook.com,,465 06 660,False,
811859672,NEWTRIMS HOLDING AS,,,,,False,
811874302,NYE HAGE OG TREPLEIE AS,,,,941 81 177,False,
811881562,NOR-OCEAN OFFSHORE HOUSTON AS,,,,,False,
811962082,NORDOME HOLDING AS,,,,,False,
812020862,NIVELLE BOLIG AS,,rune@nivelle.no,,91 11 44 34,False,
812070932,NORDVIK & BENDIXEN AS,,,,915 11 751,False,
812100882,NITRA AS,,,,911 86 352,False,
812126172,NORWEGIAN AEROSPACE AS,,,,,False,
812156322,NORWEGIA CONSULTING AS,,,,,False,
812189492,NORSK RÅVARE AS,,,,411 47 037,False,8.0
812190962,NORDEX AS,,,,,False,
812210912,NORWATERS HOLDING AS,,,,,False,
812219162,NORDIC MRO AS,,poselkiewicz@yahoo.com,,,False,
812277022,NORWEGIAN MEDICAL CONSULTING AS,www.norwegianmedical.no,info@norwegianmedical.no,,,False,
812324322,NEISO AS,www.neiso.no,post@neiso.no,,,False,
812354892,NEXT CHANGE AS,,,,,False,
812358812,NORSK URKORN AS,www.norskurkorn.no,eirin@norskurkorn.no,,934 87 836,False,
812389092,NORSK NATURFOTOFESTIVAL AS,,,,,False,
812389572,NIELSEN & CO AS,,,,,False,
812394282,NEDRE LOBBEN HOLDING AS,,,,95 91 78 59,False,
812442562,NOBOX AS,,,,,False,
812518712,NEUBERGGT 21 DRIFT AS,,,,,False,
812522442,NORTHERN LIGHTS SALMON AS,,,,,False,6.0
812615262,NORJOR AS,,,,,False,
812716042,NAPP SJØMAT AS,,roger.mosseng@lofotenseafood.no,76 08 75 01,,False,
812722492,NORDBØ AS,,,,,False,
812746162,NORGESINVESTOR PROTO AS,,oh@norgesinvestor.no,22 01 93 30,905 84 341,False,
812775952,NORION MARINE AS,,,,,False,
812816772,NÆRINGS INVEST AS,,,,,False,
812822462,NIDAROS BOLIG AS,,,,,False,
812833472,NITHO FETSUND AS,,,63 84 50 69,,False,
812871072,NORSEA EIENDOM DUSAVIK AS,,,,,True,
812879162,NAITSMANIA AS,www.naitsmania.com,stianmichael@gmail.com,,,False,
812884832,NORAMIX EIENDOM II AS,,,55 39 39 39,,True,
812979132,NORAMIX BRANDS AS,,,55 39 39 39,,True,
812995812,NORTH WEST SOLUTIONS AS,,,,,False,17.0
813006022,NESEVEGEN EIGEDOM AS,,,,,False,
813007282,NORSK SPORT & EVENT AS,,al@anderslangset.no,,,False,
813013762,NEMUS VIKA AS,www.nemustjuvholmen.no,kreeket@hotmail.com,23 90 52 42,957 59 104,False,
813032082,NORNA AS,,knut.h.berget@gmail.com,,482 10 613,False,
813059282,NORDFJORD TAKST CONSULTING AS,,jon.aage@riksfjord.com,,450 56 603,False,11.0
813129892,NORSK BYGGSAKKYNDIG AS,www.landell.no,sven@landell.no,,997 24 933,False,
813157292,NORBULK MARITIME AS,,olegjerpen@gmail.com,,900 40 306,False,
813159252,NAMSOS BÅT OG DIESEL AS,,paul.thomassen@ntebb.no,74 28 74 23,915 50 921,False,
813284502,NAMDAL BRANNVERN AS,www.namdalbrannvern.no,post@namdalbrannvern.no,,990 29 982,False,
813297892,NORDICNETCARE AS,,,,,False,
813298562,NORPOL AS,,,,916 96 144,False,7.0
813370522,NORFISH AS,,,,405 66 167,False,
813442922,NORSAF AS,,,,,False,
813515032,NORDGATA 24 AS,,,,,False,
813560852,NCG EIENDOM AS,,,,,False,
813602792,NÆRBØGATA 25 AS,,,,95 81 26 07,False,
813705222,NORSK E-HELSE AS,,,,,False,
813723182,NESODDVEIEN 22 AS,,,,,True,
813728982,NIMO EIGEDOM AS,,nikolasmoe@yahoo.no,,91376376,False,
813732602,NJORD KAPITALFORVALTNING AS,,,,,False,16.0
813769182,NES SYKEPLEIERPRODUKTER AS,,,,,False,7.0
813816962,NORDLYS VVS AS,,,,,False,
813837552,NORGESFT AS,,norgesft@gmail.com,,938 75 871,False,
813868202,NORCRAFT AS,,,,,False,
813907402,NORSK EIENDOM AS,,,,,False,
813908662,NORSK MASKINUTLEIE AS,,,,405 15 405,False,5.0
813995832,NORSK TJENESTEDESIGN AS,www.norsktjenestedesign.no,simen.lohre@gmail.com,,900 80 456,False,
814108252,NORDEN BYGGTJENESTE AS,,,,,False,
814156702,NYGEN AS,,,,,False,
814187772,NORMANN FOTO AS,,mnl75@hotmail.com,,95 13 14 85,False,
814196682,NORGREN AS,www.imi-precision.com,nonorgren@imi-precision.com,22 90 80 80,,False,
814225992,NORSK RUTEBILSTASJON AS,tkeiendom.no,,75 54 01 20,,False,
814300862,NESGATA 2 AS,,,97 06 95 84,918 81 260,False,
814319962,NORSK TAKSERING AS,,,,,False,
814430642,NORWAY OUTDOOR AS,www.norwayoutdoor.no,kristian@norwayoutdoor.no,,936 89 000,False,
814449912,NORDVIK OPPGJØR AS,,,90 41 27 00,908 31 919,False,9.0
814460142,NORDWAY AS,,,,,False,
814573192,NORTH SEA GROUP AS,,,,,False,
814573702,NORDIC CRANE GROUP AS,www.nordiccrane.no,,,,False,
814578852,NORSK TRAFIKKSIKRING HOLDING AS,,kai.berg@norsktrafikksikring.no,,,False,12.0
814613062,NVE40D AS,,ab@bjaroy.no,,,False,
814697452,NORDENFJELDSKE BØRSTEFABRIKK AS,www.norborst.no,office@norborst.no,71 66 00 11,90985609,False,
814709442,NOVENCO AS,www.novenco-marine.com,oslo@novencogroup.com,23 24 95 00,,False,71.0
814724212,NORACCESS AS,,klangse@online.no,,951 06 090,False,
814751902,NYGÅRD BARNEHAGE AS,,,,905 87 216,False,22.0
814765652,NORDIVA TOURS AS,www.nordivatours.com,info@nordivatours.com,,92669868,False,
814779912,NT REFECTIO X AS,,,,,False,
814784142,NORDIC MARINE SOLUTIONS AS,www.marine-solutions.no,post@marine-solutions.no,22 42 46 33,,False,42.0
814789152,NORDIC SKIN CARE AS,,,,,False,
814836622,NORMISJONSHALLEN AS,,,,,False,
814837092,NYE GRØNT OG GODT AS,,,,,False,13.0
814861732,NATUR-LIGVIS AS,,lloyd@natur-ligvis.no,,900 80 029,False,
814968502,NO BYGG AS,,nils.olav.jensen@gmail.com,,995 74 350,False,
814976122,NERIA AS,,,,,False,
814990222,NORDIC-TF AS,,einar.maartmann@outlook.com,,905 23 697,False,
815025032,NEGLEMANNEN AS,,,,,False,
815057082,NAIL IT LENNING AS,,,,,False,
815075692,NORE VVS AS,norevvs.no/,,22 75 20 20,,False,14.0
815101952,NT REFECTIO XII AS,,,,,False,
815131932,NEW CARE NORWAY AS,,,,,False,
815144902,NORTH INSTALLASJON AS,northpersonnel.no,post@northpersonnel.no,,928 16 581,False,14.0
815183762,NORDLAND GEAR INSPEKSJON AS,,,,,False,
815207122,NORDVEGEN GOLF OG FAMILIEPARK AS,,terje@safeplay.no,91 16 49 69,,False,11.0
815211162,NORGES TOPPIDRETTSGYMNAS UNGDOMSSKOLE TROMSØ AS,www.ntg.no,tromso-u@ntg.no,41000099,90090620,False,18.0
815248112,NTI MH AS,,,,,False,
815266692,NATURATEC AS,www.naturatec.no,info@naturatec.no,95 04 98 64,004746620872,False,
815272242,NÆRSNES MUR OG FLIS AS,,,,,False,
815303792,NODAC REGNSKAP AS,www.nodac.no,post@nodac.no,+4793463305,+4747385271,False,
815325982,NORDIC SUSTAINABLE VENTURES AS,,,,902 50 112,False,
815350332,NORVENT VENTILASJON AS,,,,,False,
815378962,NORDISK AUTO AS,,,,,False,
815385152,NOR-MET AS,,,,941 45 772,False,
815455452,NORLANDIA BARNEHAGEDRIFT AS,www.gnistbarnehager.no,firmapost@gnistbarnehager.no,40 00 65 96,,False,
815459482,NORDAHL INVEST AS,,manor@live.com,,926 54 523,False,
815480422,NML AS,,,,,False,
815514122,NICHOLAS 07 AS,,,,,False,
815538412,NORSK RIVING AS,,,,,False,5.0
815559762,NORSJØ KAMMERMUSIKKFEST AS,norkamfest.lightweb.no/,camilla.rindahl@musikk.no,,995 72 711,False,
815594002,NAPRAPATDOKTOREN AS,,,,,False,
815644042,NORTHROADS AS,,,,,False,51.0
815707532,NORICE AS,www.norice.no,norice@norice.no,,479 70 429,False,
815716272,NO ISOLATION AS,www.noisolation.com,dolva@noisolation.com,,90 62 06 27,False,21.0
815719182,NORSKE HUS BOLIG AS,,hans.petter@boplan.no,,930 40 933,False,
815725212,NORDISK DESIGN AS,,bb@bbmoss.no,,911 46 740,False,
815783352,N. MUNKHAUGEN HOLDING AS,,,,,False,
815796292,NORTH MANAGEMENT AS,,cato.svendsen@gmail.com,,971 14 506,False,
815799372,NORMARINE ENGINEERING AS,,frode.klepsvik@gmail.com,,900 48 834,False,
815860802,NORDSETER BOLIG AS,,bk@fiba.no,225490000,,False,
815865782,NORSK TITANIUM EQUIPMENT AS,,,,,False,
815877292,NETPIXEL MEDIA AS,www.netpixelmedia.com,,,,False,
815879732,N. GRØNSETH AS,,,,,False,5.0
815884892,NEXT TO NOTHING AVDELING SANDVIKA AS,,,,,True,10.0
815891562,NGM EIENDOM AS,,,,,False,
815895142,NORDYNAMIC AS,,,,,True,
816002702,NORDIC RESIDENTIAL PROPERTIES ELVEKVARTALET AS,,,,,False,
816014042,NOKKEY AS,,,,,False,
816024072,NGC PARKING 2 AS,,,,,False,
816034302,NILSEN AS,,post@nilsensvakttjenester.no,,920 25 348,False,
816092752,NIBBI INVEST AS,,,,,False,
816106362,NORVESTOR VII INVEST AS,,lsa@norvestor.com,23 00 07 00,,False,
816130352,NATALIE AS,,,,,False,
816184282,NYTVEIT HOLDING AS,,,,,False,
816190622,NORDHORDLAND STEIN AS,,,,,False,
816208432,NORDBYGATA 52/54 AS,,,,,True,
816223202,NEWSEC SØR AS,www.newsec.no,06760@newsec.no,06760,,True,24.0
816240832,NREP INVESTCO 45 AS,,,,,False,
816241332,NORTH CONSTRUCTION TEAM AS,,aleksei.simonenko.84@mail.ru,,904 76 996,False,
816269032,NSHIFT SOLUTIONS AS,www.nshift.com,,,,False,
816269172,NATURECO AS,,anncarls@gmail.com,91 35 18 15,,False,6.0
816352932,NYTRØEN EIENDOM AS,,,,,False,
816363322,NORSK DIGITAL INDUSTRI AS,,,,,False,
816468272,NORDSLETTVEIEN 2 AS,,,,,False,
