organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
812624652,WILHELM REICH-SELSKAPET I OSLO,,,,,False,,False
812700472,WORLD CHITO RYU KARATEDO ASSOCIATION - NORWAY,,lundlar@online.no,,91 61 33 68,False,,False
814727882,WOODLAND - SOUND OF NAMSOS,www.soundofnamsos.no,eivind@rockcity.no,,411 00 104,False,,False
815628322,WEST ELARA VELFERDSKLUBB,,,,,False,,False
817785042,WARDOON MEDIA,,,,,False,,False
818358512,WILD X - URBAN ANGLERS LOKALLAG,www.urbananglers.no,post@urbananglers.no,,40090941,False,,False
818543522,WOMENOPMENT,,,,,False,,False
820216342,WECARE,,elin.amanda.brodal@conmodo.com,,,False,,False
820530462,WILD ROSES MC ØSTFOLD,,,,,False,,False
820919742,WADOKAI NORWAY,www.facebook.com/wadokainorge/,,,928 38 085,False,,False
821521122,WINDY OWNERS CLUB,,,,,False,,False
823818432,WOLFSHIT MC,,,,,False,,False
823827512,WØYENGUTTA,,,,,False,,False
824029792,WOMEN IN GAMES NORWAY,www.womeningamesnorway.com,hello@womeningamesnorway.com,,411 44 369,False,,False
824575592,WENCHES KAFÉ,,,,,False,,False
825553932,WEST BOLLSTA VELFERDSKLUBB,,,,,False,,False
826965282,WADAJIR FORENING,,,,,False,,False
829439352,WORLD REINDEER HERDERS,,,78 60 76 70,,False,,False
829483262,WONOMUTE YOUNG,,,,,False,,False
830230122,W GRUNN HANDEL,,alexandercontreras@icloud.com,,932 89 484,False,,False
831669322,WANDROUS VISION,,,,,False,,False
834429292,WOMANHOOD INITIATIVE,,,,,False,,False
834456702,WELFARE SUBSEA VIKING,,,,,False,,False
835256952,WOOD PARAT,,,,,False,,False
835521532,WOMEN INVESTMENT CLUB SPAIN,,,,,False,,False
870491522,WETTERHUSVEGEN,,sguteru@online.no,32 74 51 62,91326625,False,,False
880289942,WEBGRRLS NORGE,,,,,False,,False
882035832,WOMEN YOUTH WING,,,22 19 19 83,,False,,False
882218902,WISTA NORWAY,wistanorway.no/,,,958 52 099,False,,False
887661332,WLANETS VENNER,www.mindre.net/wlan,kontakt@ranvik.net,33 46 21 29,920 93 081,False,,False
894686472,WAYMARK MEDIA,www.waymarkmedia.org,,69 27 72 99,91188585,False,,False
894709812,WAM-KAM FOTBALLKLUBB,www.wamkam.com,simen.db@gmail.com,,40648943,False,,False
897885832,WAAMO CARE (ORG),,faaraxsalaad@hotmail.com,,455 04 997,False,,False
898129772,WILLHELM TELLS DART CLUB,,72betta@gmail.com,,905 50 139,False,,False
911661438,WHM KLUBB,,whmklubb@hotmail.com,,411 31 635,False,,False
911738090,WIDERØE BEDRIFTSIDRETTSLAG,,wfbil@wideroe.no,,924 52 329,False,,False
