organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
810393572,HALWA AS,,,37040086,,False,
811102822,HAS INVESTMENT AS,,,22 14 27 86,90133076,True,
811280852,HOVLAND TREVAREFABRIKK AS,,firmapost@hovlandtrevare.no,90 40 01 50,,False,20.0
811489972,HARALDSGATEN 168 AS,,viggo@at-h.no,,412 15 080,False,
811563722,HAUGLANDSHELLA BYGG AS,,,,,False,
811650072,HOBTECH AS,,,,,False,
811689262,HAALAND BILVERKSTED AS,,taraldh@hotmail.com,,905 06 566,False,7.0
811722332,HEILMAT AS,,,,,False,11.0
811749532,HÅRLOKKEN AS,,,,,False,5.0
811759562,HMSUNDT AS,www.lynxmedisinske.no,post@lynxmedisinske.nhn.no,69 70 12 00,459 12 110,False,
811826162,HOLBERG PLASS EIENDOM AS,,,,,True,
811859702,HAMMERGÅRDEN EGERSUND AS,,,,,False,
811867152,HANS-HENRIK FURULUND EIENDOM AS,,,,920 12 865,False,
811874132,HØYER TRONDHEIM AS,,,,,False,40.0
811896632,HUMLEHAGEN EMB AS,,humlehagen57@gmail.com,70 15 02 24,473 29 034,False,
811923532,HÆGLAND & SVANBERG AS,www.hasv.no,post@hasv.no,,958 68 515,False,17.0
811934232,HOTEL AAK AS,hotelaak.no,,,,False,12.0
811998052,HAMREVANN INVEST AS,,,,,False,
811998672,HSH INVEST AS,,,,404 01 067,False,
812001442,HANKO BYGGETJENESTER AS,,,,,False,
812049712,HECHLA ÅRENGA AS,,,67 13 12 22,,False,
812057782,HUSBERG INVEST AS,,,,,False,
812061542,HEGRA BYGGSERVICE AS,,,,,False,6.0
812066242,HELSELABEN AS,,,,,False,
812068512,HELSEHUSET HAUGESUND AS,,,,,False,
812070142,HÅRSTUDIOET AS,,,,,False,6.0
812070592,HERBRANDSEN INVEST AS,,,,,False,
812088122,HACON MANAGEMENT AS,,,,,False,
812106082,HL EIENDOM AS,,,,,False,
812111302,HELT ADEKVAT AS,,,,,False,
812130692,HÅRGALLERIET FAGERNES AS,,,,,False,6.0
812155822,HEMA INVEST HOLDING AS,,,,,False,
812165542,HAGEGATA 25 NÆRING AS,,,,,False,
812171062,HURUM HUND OG KATT AS,,,,,False,
812171372,HAGEBRÅTEN MASKIN AS,,,,917 97 223,False,
812195662,HOVRUD INVEST AS,,,,,False,
812232002,HAFS BETONGBYGG AS,hafsbetongbygg.no,post@hafsbetongbygg.no,,,False,11.0
812274082,HUSFLIDEN HALLINGDAL AS,,,32 07 40 60,,False,9.0
812302272,HAMAR GLASMAGASIN AS,www.designforevig.no/butikker/hamarglasmagasin/,post@hamarglasmagasin.no,62 54 99 35,918 74 892,False,7.0
812325752,HEIMEN NÆRINGSBYGG AS,,petter.holm@pesica.no,,480 96 480,False,
812328212,HARALDRUDVEIEN 18 AS,,,,,True,
812345052,HSE TRANSPORT AS,,,,,False,
812348442,HØYSKOLEN FOR DANSEKUNST AS,,camilla@romfordans.no,,90113896,False,14.0
812350862,HARDROCK AS,,,,,False,
812385062,HOLTERMANN SOLUTIONS AS,,,,,False,
812398652,HÅRSTRÅET AS,,,,,False,6.0
812411802,HOLMSTRANDA AS,,epost@holmstrand.no,75 19 08 08,908 77 695,False,
812417312,HARALDSEN AUTO AS,,odd.arild@haraldsenauto.no,61 11 33 40,,False,12.0
812444182,HASVOLD AS,,,22 65 86 10,,False,7.0
812492012,Haco Eiendom AS,,ehh@haugli.no,,995 00 455,False,
812514962,HAGEN & HASLENE AS,www.hagenoghaslene.no,jan.ove@hagenoghaslene.no,,977 48 451,False,
812520202,HAVANA - MAGASINET AS,,,51894970,,False,7.0
812536532,HAAGAAS INVEST AS,,phaagaas@gmail.com,,913 24 088,False,
812542362,HÅSTUL EIENDOM OG UTVIKLING AS,,,95 04 26 94,960 18 208,False,
812547852,HADLAND AS,,,,,False,
812572652,HVIDING CANNING CO AS,,,,,False,
812592882,HRJ AS,,,,,False,
812598902,HARLEM EIENDOM AS,,,,,True,7.0
812643282,HANO HOLDING AS,,,,,False,
812646052,HJEMBU INVEST AS,,,,,False,
812675192,HILLESVÅG ULLVAREFABRIKK AS,,hillesvaag@ull.no,56 35 78 00,,False,26.0
