organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
811548812,RICH BAR HOLDING AS,,,,,False,
811644412,REGALIS EIENDOM AS,,kjetil@regaliseiendom.no,,,False,
811669202,ROMSDAL EIENDOMSMEGLING AS,www.notar.no,,71 20 04 00,,False,6.0
811726192,RSJ HOLDING AS,,,,,False,
811757462,"RESOURCE, TRADING & MANAGEMENT AS",,runar.maeland@lyse.net,,412 15 901,False,
811769592,REKS HOLDING AS,,jjh@soloneiendom.no,,,False,
811771082,RUDIHAGEN AS,www.rudihagen.no,,,48 18 80 00,False,
811772992,ROMVESEN AS,,,,,False,
811796832,ROSCHER INVEST AS,,,,,False,
811956732,RØKENES GÅRD & GJESTEHUS AS,roekenesgaard.no,rgaard@online.no,77 05 84 44,958 34 958,False,13.0
811978892,RISK MANAGEMENT CONSULTANTS AS,www.rmc.no,post@rmc.no,,922 23 060,False,
811994782,RAVNURA AS,,,,,False,
811997862,RVT REGNSKAP AS,,post@rvtregnskap.no,,928 30 916,False,
811998222,RAYMOND ARONSEN TRANSPORT & GRAVING AS,,,,97529258,False,
812048732,REGNBUEVEIEN 10 AS,,,23 17 01 80,,False,9.0
812051652,RAABAKK MANUFACTURING AS,,,,,False,7.0
812081012,RAFAGLASS AS,,,,,False,
812122932,RUNE MORTENSEN AS,,,,408 54 020,False,
812126962,RAUFOSS ZOO SENTER AS,,,,922 37 615,False,6.0
812135112,ROGER LINNERUD AS,,,,,False,
812190032,ROYAL BASE SERVICE AS,,,,,False,
812190172,RUTA EIENDOM AS,,,,,False,
812203312,RØDMYRLIA 33 AS,,,,,False,
812210432,RENO-VEST BREMNES AS,,,76 11 29 00,,True,
812299042,RMB BYGG AS,,,,,False,7.0
812300822,RENT OG RYDDIG AS,,,,,False,7.0
812341472,RAMSVIK FRISØR VESTKANTEN AS,,,,,False,16.0
812349902,RUDI HOLDING AS,,,63 95 90 50,,False,
812438352,RAYMOND J OLSEN BETONGTRANSPORT AS,,,,,False,
812468952,RAWAN INVEST AS,,,,,False,
812499262,ROBLO INVEST AS,,roblo@hotmail.no,,92099200,False,
812533002,RÅKIL EIENDOM AS,,,,,False,
812550322,RAM INVEST AS,,,,,False,
812573942,RØRLEGGER 1 MOLDE AS,,,,,False,21.0
812574272,REINSVE EIENDOM AS,,ornulf@reinsve.no,,,False,
812618512,RASKENLUND AS,,,,,False,
812686062,REDQ AS,www.redq.no,post@redq.no,40 40 68 80,,False,
812702432,RASTAVEGEN 1 AS,,,,,False,
812719432,RSI INVESTERING AS,,reidar.ostrem@westnet.no,,908 31 051,False,
812797042,RIEBER-MOHN HOLDING AS,,,,,False,
812836722,REPPE UTBYGGING AS,,,,,False,
812853082,REIM AS,,rezowan@gmail.com,,482 86 801,False,
812871552,REITEN HOLDING AS,,,,,False,
812877542,RIAS-PRODUKTER AS,,,,480 94 282,False,
812899392,RUNE HEPSØ FISK AS,,,,917 23 703,False,
812972502,REVOLVER AS,,mwenaes@me.com,,,False,
812978462,REGNBUEBARNA AS,regnbuebarna.as,,37091313,47466813,False,14.0
813015552,RECAMA EIENDOM AS,,post@holmplast.no,32 71 19 00,,False,
813034492,RØRFIX AS,,dag@rorfix.no,,951 12 233,False,
813046652,RAGNAR JAHNSEN AS,,,33 31 32 57,90056280,True,
813075822,RØRLEGGERVAKTA AS,,post@roerleggervakta.no,23 12 65 50,,False,15.0
813128802,RAUMNES BYGGSYSTEMER AS,,,,,False,
813143852,RECOVERY24 AS,,,,,False,
813164582,RIL ANLEGG AS,,,,,False,
813175142,RN BYGGMONTASJE AS,,roya_nygaard@hotmail.com,,90835732,False,10.0
813228742,RYE-MEDINVEST AS,,,,,False,
813250632,RASMUSSEN MARITIME DESIGN AS,,,,,True,
813259982,RUN BNC AS,,,,941 92 651,False,
813292432,RØRLEGGERMESTER JARLE HAUG AS,,,,,False,
813395452,REIDAR POULSEN AS,,,,,False,
813399482,ROEST AS,,,,,False,21.0
813422042,ROLAND GALLI CONSULTING AS,,,,,False,
813572982,RANA GRUPPEN AS,,ranaasif100@hotmail.com,,980 47 558,False,
813590522,RAMM FRISØR ÅSANE STORSENTER AS,,,,,False,9.0
813596482,ROBERT SKÅLEVIK AS,,,,,False,
813596792,REBELKO AS,,rcp@operamail.com,,452 88 053,False,
813598612,RSA GRUPPEN AS,,,,,False,
813630702,RAKETTEN AS,,erlend@bureaustorm.no,,911 57 449,False,15.0
813684292,REVIEW AS,,john.arild.jasund@lyse.net,,,False,
813688662,RAA BYGG AS,www.bratlandeiendom.no,post@bratlandeiendom.no,,990 73 000,False,5.0
813742292,ROLFS ALT MULIG AS,,,,,False,
813754002,RIIS CONSULT AS,,morten@riisconsult.no,,909 66 341,False,
813779412,RIIS GARTNERI AS,,tove@riis-gartneri.no,63 87 97 50,959 69 035,False,
813780682,RASK UTVIKLING AS,,,,,False,
813783002,RIISE FINANS AS,,,,,False,
813798832,RINGVEIEN 5 AS,,,,,False,
813802422,RIGETJØNN BIL AS,www.rige-bil.no,post@rige-bil.no,38 02 91 90,901 29 190,False,5.0
813805022,R-S INVEST AS,,robin@asprorservice.no,,472 54 342,False,
813864452,RIPEL BYGG AS,,,,,True,
813876272,ROBIN EIENDOM AS,,,,,False,
813897822,REED PROJECTS AS,,,,,False,
813908352,RM BILPLEIE OG BILVASK AS,,,69 25 50 55,415 72 779,False,6.0
813933632,ROGALAND DRIFTSSERVICE AS,www.rogdrift.no,,,,False,12.0
813986302,ROVIK HOLDING AS,,,,,False,
814082652,RIME AS,,,,,False,
814087182,RIJO AS,,,,901 77 731,False,
814090132,RØNNEBERG EIENDOM AS,,,,982 52 534,False,
814217302,ROSTEN CONSULTING AS,,,,950 31 382,False,
814267652,ROBERT UGLAND HOLDING AS,,,,,False,
814286002,ROSNES TECHNOLOGIES AS,,rune@rosnestech.com,,,False,
814342662,RENSVIK PIZZA OG GRILL AS,,,,,False,15.0
814355462,ROGNHOLMEN AS,,,,,False,
814356442,RØSBERG AMUNDSEN EIENDOM AS,,,,,False,
814425762,REKLAMEKONSULENTEN AS,,siw@reklamekonsulenten.no,,,False,
814451232,RINGSAKER HANDELSPARK AS,www.temaeiendom.no,tema@temaas.no,61 13 70 90,,True,
814464172,RYGEHUS HOLDING AS,,,,,False,
814484602,RØYRMYRA VINDPARK AS,,jgs@cloudberry.no,,970 38 507,False,
814487962,R.B.I. AS,,,,915 49 527,False,
814508072,RYGG BELYSNING AS,www.ryggbelysning.no,rygg@mesterlys.com,51 41 87 51,,False,
814580822,RONALD ØDEGÅRD AS,,ronald@fjellsorenger.no,,915 76 464,False,
814632032,REFSETH HOLDING AS,,,,,False,
814741192,RMC INVEST AS,,,,,False,
814760162,RUNE ELLINGSEN HOLDING AS,,,,,False,
814772322,REGNI AS,,,,,False,
814780392,RØSET ELEKTRO AS,www.rosetelektro.no,post@rosetelektro.no,45 83 37 00,458 33 702,False,
814817652,RODINIA HOLDING AS,,foss@outlook.com,,990 14 937,False,
814821072,RIKKE AS,,rikke@elleandil.com,,,False,
814824012,RAYMOND LIE GRAVING OG TRANSPORT AS,,,,,False,
814845222,REIMAN EIENDOM AS,,info@norestbygg.no,,410 68 741,False,
814881652,ROSNOR AS,,,,,False,
814910172,REBUS SØR AS,,,,,True,
814913872,RØDHETTE AS,,,,911 79 146,False,11.0
814944662,RYFYLKE TRELAST GRUPPEN AS,,,,,False,
814969452,RAUMARTOPPEN HOLDING AS,,kirkeby@raumartoppen.no,,959 04 585,False,
815000072,RISIKO RESPONS AS,,,,,False,
815051602,RANDESUND HAGEBY 5 AS,,,,,True,
815066022,RA-DHAN AS,,,,,False,
815078292,ROMTECH AS,,romtechnorge@gmail.com,,,False,
815078632,RAUDEBERG MAT AS,,,,,True,18.0
815101812,RØRLEGGER RUNE FLEM AS,,rune@rflem.no,,917 02 370,False,
815109252,RAUDEVASSRISTA INVEST AS,,eivind.galta@no.ey.com,,,False,
815185412,ROKKESTAD EIENDOM AS,,,,,False,
815189582,REAKSJON EIENDOM AS,,,,,False,
815223292,ROUGE CORPORATION AS,www.danielrougemadsen.com,drm@lyse.net,,994 98 165,False,
815268032,RS BOLIGUTVIKLING AS,,,,452 42 182,False,
815279972,RAVIK AS,,,,,False,17.0
815327012,ROS AS,www.ros.no,ros@ros.no,22 13 30 30,,False,
815336712,ROKKE HAGESERVICE AS,www.rokkehageservice.no,,,,False,10.0
815412362,RFID SOLUTIONS AS,,,,,False,
815424522,RASTAD AS,,erik@rastad.com,,932 47 660,False,
815446402,ROSEHAGEN & CO AS,,,,,False,
815472152,ROMSØE EIENDOM AS,,terje.romsoe@lyse.net,,90913646,True,
815504062,RUHS AS,,post@ruhs.no,23 28 38 78,,False,9.0
815581512,R. ENDRESEN CONSULTING AS,,christofferend@gmail.com,,930 44 221,False,
815628802,RØROS VARME AS,,post@rorosvarme.no,,92614097,False,
815662512,REACT VENTURE AS,,,,,False,
815667352,ROVPARTNER AS,,post@rovpartner.no,,941 54 060,False,
815682092,R.A.JORE AS,,,,,False,
815696212,RC OFFSHORE AS,,,,,False,
815699912,RAGD AS,,er-bleie@online.no,90 97 38 64,,False,
815726332,RIISE AAS AS,,stein.aas@elverum.online.no,,480 43 543,False,
815826442,RELINE AS,,,,,False,
815831292,R MARTINSEN AS,,robert@svaneas.no,,900 91 990,False,
815874242,RABBEN EIENDOM FRØYA AS,,,,,False,
