organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
810969652,DDB AS,,,98 70 85 40,,False,
811251682,DYSTHEDESIGN AS,,,67 13 12 10,,False,
811546402,DELA AS,,prosjektpartnerlars@gmail.com,,454 06 989,False,
811551252,DENTSIGN AS,,,,,False,
811654132,DOCTOR OK AS,,,75 54 99 49,,False,
811697532,D-S EIENDOM AS,,,,,False,
811741272,DNB PRIVATE EQUITY III (IS) AS,,,23 11 64 25,,False,
811810622,DALE ANLEGGSGARTNER AS,daleanleggsgartner.no,post@daleanleggsgartner.no,,412 18 383,False,6.0
811813222,DD EIENDOM AS,,,,,False,
811822582,DRONETEKNIKK AS,,,,952 39 591,False,
811851302,DEEP SEA DRILLING COMPANY I AS,,,,,True,
811906042,DRØMMEHAGEN BYREMO AS,,,,,False,14.0
811969672,DIRDALHALLEN AS,,dirdalhallen@gmail.com,,,False,
811984892,DAL UTVIKLING AS,,,,,True,
812021982,DELCOM AS,,,,,False,
812022032,DIGITAL TRENINGSDAGBOK AS,treningsdagbok.org,tomas@protours.no,,97 00 43 00,False,
812103482,DROPPOINT AS,,,,908 79 704,False,
812138502,DANSESONEN TIRIL ANDØL DANSESTUDIO AS,,,,,False,15.0
812154672,DS CONSULTING AS,,,,,False,
812158872,DYNEA HOLDING AS,,,,,False,
812161172,DR. KROHNS VEG 20 AS,,,,,False,
812184032,DREVFJELL AS,,,,,False,
812293842,DELTA PROJECTS AS,www.deltaprojects.com,,,+4793236636,False,
812330772,DIDEILA AS,,,,,False,
812342282,DAFRO EIENDOM AS,,,,,False,
812414402,DAHLE MEDICAL HOLDING AS,,,61 24 80 00,908 35 880,False,
812428632,DEYOUNG INVEST AS,,,,,False,
812503812,DPK CONSULTANTS AS,,,,939 62 163,False,
812604872,DIWP HOLDING AS,,,,915 91 094,False,
812653652,DIGITAL INSIGHT AS,,,,,False,
812755072,DIKEVEIEN 50 EIENDOM AS,,,,,False,
812782932,DYAR HOLDING AS,dyar.no,info@dyar.no,,,False,
812824082,DRIFTSIKKER KOMMUNIKASJON AS,www.plorea.com,support@plorea.com,72 60 60 60,,False,
812830112,DIGITAL ACCOUNTING AS,,,,,False,
812891162,DANIEL ÅSHEIM AS,,,,,False,
813169142,DRIVING TRAFIKKSKOLE AS,,,,,False,5.0
813212722,DOKTORNO AS,,,,,False,
813246252,DRIVSTOFFTEKNIKK AS,,,,,False,
813265672,DOMBÅS TRENINGSSTUDIO AS,,,,,False,
813268892,DINE HENDER AS,,,,902 02 212,False,
813297302,DR. LARS FURUSETH AS,,,,,False,
813360462,DRONNINGENSGADE EIENDOMSSELSKAB AS,,,,,False,
813404362,DIKKEDOKKEN EIENDOM AS,,,,,False,
813552612,DOLPHIN KAPITAL AS,,,,926 06 136,False,
813572702,DMM HOLDING AS,,dag.meltveit@gmail.com,,940 13 421,False,
813818922,DAHLTRONIC AS,,dahltronic@gmail.com,,482 79 893,False,
813834332,DAVÁS FILM AS,,kenare@gmail.com,,95277743,False,
813964562,DIN SALGS & SERVICE PARTNER AS,,,,,False,
814042502,DALEHAUG INVEST AS,,anders.dalehaug@gmail.com,48 13 09 92,481 30 992,False,
814119092,DRØMMEKJØKKENET BERGEN PROSJEKT AS,dkb.no,,,,False,
814141462,DONNA AS,,,23 22 14 95,,False,
814183122,DALEVEIEN 107 AS,,,,,False,
814208672,DOMKIRKEGATEN 5 AS,,rebecca@munch-tufte.no,,92 42 08 70,False,
814232662,DF RENTAL AS,,dag@dfbergen.no,55 23 55 90,901 66 064,True,5.0
814245632,DIN SUSHI LARVIK AS,,,,,False,
814310892,DANFENCER OMRÅDESIKRING AS,,,,,False,
814380882,DENTAL HEALTH CARE AS,,,,,False,
814446832,DER PEPPERN GROR AS,,,,92 80 83 36,False,76.0
814453502,DJERV CONSULT & INVEST AS,,,,,False,
814491722,DIVAZ AS,,,,971 00 267,False,
814545792,DEEP TEK AS,www.deeptek.no,havard.haanes@deeptek.no,,97 66 40 04,False,
814566722,DIMOSKI AS,,,,,False,
814835022,DYRUD MASKIN OG UTEMILJØ AS,www.Dyrudmaskin.no,post@dyrudmaskin.no,,994 64 316,False,21.0
814850102,DEFENDER AS,,,,,False,
814852792,DEVELEON AS,,,,,False,
814906582,DAIMYO EIENDOMSDRIFT AS,www.daimyo.no,info@daimyo.no,,,False,11.0
814913082,DOBBEL L AS,,,,980 36 664,False,
814928942,DLH SERVICE AS,,,,,False,7.0
815028082,DOKKA TORG AS,,feas@fabritius.no,23 17 24 50,,False,
815039602,DASO INVEST AS,,,,,False,
815059492,DESIGNBANKEN AS,www.designbanken.no,espenm@designbanken.no,51 55 25 00,907 32 795,True,6.0
815070542,DIN BUSSTUR AS,www.dinbusstur.no,post@dinbusstur.no,,911 18 980,False,13.0
815077512,DRAMMEN TRANSPORT & SAMLAST AS,,,,,False,
815157222,DNB PRIVATE EQUITY IV (IS) AS,,dnbpeiv@permian.no,23 10 07 60,,False,
815272692,DRIV LOGISTIKK AS,,,,,True,38.0
815342232,DL HOLDING INTERNATIONAL AS,,,,,False,
815364872,DDS AUTO AS,,bawan07@hotmail.com,,473 74 874,False,
815369122,DATEC AS,,,,,False,20.0
815378822,DIAMERO AS,,,,,False,
815453522,DET LILLE GALLERI SØR AS,,klemmet.aaneland@nov.com,38 02 44 38,,False,
815505042,DIKKON KAFE AS,,,,,False,
815525892,DATA HJELP OSLO AS,,,,925 02 614,False,
