organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
811546712,LENDING FISKERI AS,,linne.lending@enivest.net,57 78 77 52,,False,
811623202,LAGRE MINILAGER AS,,post@lagre.no,80 08 00 08,,False,
811703362,LOSI'S AS,,kjeitl@losis.no,,452 90 387,False,9.0
811768472,LERNÆS EIENDOM AS,,,,,False,
811783072,LILLEBAKK HOLDING AS,,,,,False,
811802662,LEIREVEIEN 26 AS,,,,,False,
811805092,LUXE SALONG AS,www.luxesalong.no,per@vindings.info,,962 20 101,False,5.0
811898082,LL SUNNFJORD UNGDOMSHEIM,,,57 82 03 11,,False,
811898902,LAFTERÅSEN UTBYGGING AS,,,,,False,
811925292,LILLE FLATLAND AS,,mb@bakertilly.no,,,False,
812038052,LUNDES REVISJON OG REGNSKAP AS,,ragnhildlu@yahoo.com,,414 55 787,False,
812051512,LÅGEN TRANSPORT AS,,,,,False,
812075292,LARS THORBJØRNSEN GRAVING OG TRANSPORT AS,,,,,False,14.0
812098152,LATIPAC AS,,kjetil@sempro.no,,,False,
812115022,LUNA SOLSTUDIO AS,,,,,False,
812125842,LANTZ ARKITEKTER NORDIC AS,www.lantzark.no,aashild@landevaaginteriordesign.no,,970 66 603,False,
812126482,LEVEL HOLDING AS,,fv@iktgruppen.no,,980 26 000,False,
812129392,LYNGDAL MARINE AS,,,,,False,
812157922,LASSE EVENSEN AS,www.lasseevensentaksering.com/,,,,False,
812169122,LUNDH INVEST AS,,,,,False,
812171402,LINEO AS,,,,,False,
812181912,LIFTMANN AS,,,,,False,6.0
812278452,LARRE EIENDOM AS,,sten@larre.no,22 44 74 90,922 17 040,False,5.0
812299212,LADEVEIEN HOLDING AS,,,,,False,
812406272,LIE GRAVESERVICE AS,,,,,False,
812410962,LUNDARÅS AS,,,,,False,
812412132,LEIRVIKFLATEN 11 AS,,,,,False,
812434942,LOCAL HERO AS,,,,,False,
812436902,LAGO INVEST AS,,,,,False,
812450212,LYD & TELE LARVIK AS,,post@lydogtele.as,,,False,
812512692,LELA AS,,,,911 96 305,False,
812515462,LANGTRADE AS,,,,414 66 848,False,
812540122,LOCOMOFON AS,www.locomofon.no,sakari@locomofon.no,,907 23 516,False,
812550802,LEKVEMOGATA 12 B AS,,,,,False,
812587722,LERVIG EIENDOM AS,,,,,False,
812669362,LAVE EIENDOM AS,,,,,False,
812672002,LANGÅKER HANDELSLAG AS,,,,,False,
812720112,LUNDE IMAGES AS,,lundeimages@gmail.com,,90 75 74 76,False,
812822152,LANGDALEN HOLDING AS,,,,,False,
812828622,LEXBERG PROSJEKTADMINISTRASJON AS,,,,,False,
812876392,LCHF AKADEMIET AS,,,,,False,
812884492,LANGFELDT WESSEL ARKITEKTER AS,www.langfeldtwessel.no,vera@langfeldtwessel.no,,454 62 662,False,
812887092,LØVÅSMYRA 6-3 AS,,,,,False,
812900412,LEIRVIKFLATEN 29 5 AS,,,,,False,
812978012,LEGU HOLDING AS,,arveek@online.no,,913 94 420,False,
812998862,LARS ROAR FALLRØ AS,,lars.roar@hotmail.com,,984 01 559,False,
813009692,LANDSTAD AS,www.atvbelter.no,hajo-lan@online.no,,900 54 813,False,
813023512,LØTEN EIENDOM AS,,,,,False,
813038382,LAPLAND HOUSE AS,,,,46656866,False,
813038692,LIEN ELEKTRO AS,www.lienelektro.no,richard@lienelektro.no,,958 04 358,False,9.0
813039532,LØNSETBYGG AS,,,,,False,
813055082,LPG AS,www.golfpremier.no,rldolata@online.no,31 41 06 09,911 32 407,False,
813084252,LANDSBYLEGEN RANDABERG AS,,,51 41 44 30,,False,6.0
813170612,LEIF JOHANSEN & CO AS,,,76 07 46 62,,False,12.0
813178532,LANVAR AS,,,,,False,
813193582,LÅS OG MONTERING AS,,knut@laasogmontering.no,,,False,
813230372,LAI LAI TAKE AWAY AS,,,,917 87 839,False,
813265982,LØFSGÅRD EIENDOM AS,,,,,False,
813281252,LARS STEINAR SUNDBY AS,,lssundby@online.no,,90159504,False,
813296012,LUCKY FRISØR TVEDESTRAND AS,,,,,True,
813376822,LARKOLLEN CAMPING AS,www.larkollencamping.no,,,,False,
813385082,LMTD AS,,,22 75 54 99,,False,
813390582,LEIRAGÅRDEN AS,,,,,False,
813398982,LAURSEN INVEST AS,,laursen.rasmus@gmail.com,,995 71 851,False,
813422212,LAUVDAL FOTO AS,,,,,False,
