organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
817686222,XUBEERA,,,,,False,,False
893112472,XO MC TROMSØ,,xo-mc-tromso@outlook.com,,917 41 491,False,,False
898246892,XAAWOTAAKO DEVELOPMENT ORGANIZATION,,,21 69 78 94,91714091,False,,False
911868059,XCOM14DATA,www.xcom14.no,leder@xcom14.no,,95 75 79 71,False,,False
911952904,X ROCKEKLUBB,www.xrk.no,xrockeklubb@gmail.com,,908 14 348,False,,False
912229645,XTREMEIDFJORD,www.xtremeidfjord.no,post@xtremeidfjord.no,,,False,,False
912666395,XACT DANCECREW,www.xactdancecrew.com,cath.salberg@gmail.com,,917 83 208,False,,False
913401034,XCOM CYBERSIKKERHET OG DATAKOMMUNIKASJON.,,augustrakvaag@gmail.com,,480 72 822,False,,False
914728363,XOSLO,www.tedxoslo.com,info@tedxoslo.com,,982 56 391,False,,False
917334641,XELLIAS SENIORKLUBB,,,,,False,,False
920070981,XAZAR YANAR,,,,,False,,False
922155968,XTRA-LISTA,,,,,False,,False
922773920,XR NORGE,,,,,False,,False
923697039,XN--UG8H,,,,,False,,False
923964827,XT-64 AURSKOG-HØLAND,,,,,False,,False
924683562,X5 ELEKTRO BEDRIFTSIDRETTSLAG,,,,,False,,False
932488132,XMUNCHX,,,,,False,6.0,True
934396286,XENADEGLE ERITREISK KULTURFORENING I MIDT-NORGE,,,,,False,,False
986501045,XOS MC AALESUND,,kjell-t@venturist.net,,913 05 304,False,,False
988323667,X FRAM RACING TEAM,,and-skar@online.no,22 28 15 80,92011648,False,,False
988476307,X MC,,eskild@private.as,73 91 85 85,932 10 591,False,,False
989816799,X-TRACED SERVICES,xtraced.net,torbjoern.laundal@xtraced.net,,92450005,False,,False
990398321,XCOM DATATEKNOLOGI,xcom17.abakus.no,,,988 97 152,False,,False
990897603,XO'S LADIES,www.xosladies.no,post@xosladies.no,22 68 75 26,97513346,False,,False
991346678,XO-KLUBBEN DEN EDLE DRUE,,,,916 81 189,False,,False
991695419,XCOM KOMTEK,org.ntnu.no/xcom09/,,,,False,,False
992295996,X2 SKI,www.x2ski.no,,,,False,,False
992985429,XCLUSIVE - DANCE,,,,46447968,False,,False
993540528,XO JEINT'N,,,,41414850,False,,False
994565699,XCOM KOMMUNIKASJONSTEKNOLOGI,xcom2010.no,sania@stud.ntnu.no,,908 75 820,False,,False
997760956,XERCIZE,,,,99091212,False,,False
998811139,XL-BYGG KÅRE ABELSEN BEDRIFTSIDRETTSLAG,,,,,False,,False
