organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
811608602,UNDERSTELLSERVICE AS,,,,,False,
811620122,UTEPLASSEN.NO AS,www.uteplassen.no,,,,False,7.0
811644862,UNI-CONSULTING AS,,,,,False,
811994812,URMAKER CHRISTENSEN AS,,,,,False,12.0
812110772,UTSIKTEN HOLDING INVEST AS,,,,,False,
812257692,UTOM AS,,,,,False,
812646192,UNIQ AS,,,,,False,
813077132,USTAOSET UTVIKLING AS,,josef@jrm.no,,416 36 983,False,
813112612,UTHUSHAGEN PLAN AS,,terje@uplan.no,,90867494,False,
813204002,UTFLUKT OPERATIONS AS,,,,,False,50.0
813379732,UPSTREAM RISK MANAGEMENT AS,,geistran@gmail.com,,988 17 776,False,
813392712,UIC AS,www.uic.no,helge@uic.no,,996 10 158,False,
813598132,UNSTAD ARCTIC SURF AS,www.unstadarcticsurf.com,hello@unstadsurf.com,97 06 12 01,,False,41.0
813672782,UNISCALE AS,,,,,True,
813960702,UMBILICUS EIENDOM AS,,,,,False,
814326322,UNIK BOLIG & EIENDOM AS,,,,,False,
814425282,URBANHUS OSLO AS,,,,,False,
814425312,URBANHUS SØRVEST AS,,,,,False,
814476812,UTOPIA WORKSHOP AS,,,,,False,
814799492,ULRIKSEN KYSTFISKE AS,,,,,False,
815090322,USKEDAL EIGEDOM AS,,j.h@live.no,,905 53 980,False,
815095472,UTMARK AS,,engebret70@gmail.com,,940 37 950,False,
815131622,UGELSTAD HOLDING AS,,,,,False,
815154622,UBIQUE AS,www.dugnadsiden.no,kontakt@dugnadsiden.no,,,False,12.0
815478002,UTOPIA EIENDOM AS,,,,,False,
815488652,URBAN PARTNERS AS,,,,,False,16.0
815553772,UNDERFUNDIG AS,,,,,False,
815797612,UNIKT AS,,,,,False,
816207452,ULLANDHAUG INVEST AS,,,51 96 36 60,,True,6.0
816255902,UT MOT HAVET UTVIKLING AS,,,,,False,
816508762,UTLEIETELT.NO AS,,post@utleietelt.no,90 70 09 07,,False,16.0
816508932,USTAOSET FJELLANDSBY AS,,thormod@b16.no,,906 06 864,False,
816713722,UNISPECTRO AS,,,,,False,
816805112,UNIK WALL AS,,,,,False,
816959012,UTLEIEBYGG 2 AS,,,,,False,
817000762,ULSAKER & NILSEN AS,,,63 97 21 26,,False,
