organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811566772,VESTERÅLEN TEATER,,,,99259510,False,,False
811584282,VESTFJELLI BEITELAG,,,,913 24 293,False,,False
811641642,VESTENFJELDSKE VETERINÆRFORENING,www.vetnett.no,eculvik@online.no,,974 19 604,False,,False
811648582,VIGRA KRISTELEGE UNGDOMSLAG,www.vigrabedehus.no,oddhelge99@msn.com,,902 24 622,False,,False
811687162,VIGRA OG VALDERØY PISTOLKLUBB,www.vivapk.no,leder@vivapk.no,,95180018,False,,False
811717452,VELFORENINGA HAS,,berit.solli@tussa.com,,993 80 642,False,,False
811720682,VESTNES HUSFLIDSLAG,,soltunry@online.no,,480 67 213,False,,False
811762172,VÅGSTRANDA ARBEIDSSTUE,,mariann.reistad@gmail.com,,482 44 860,False,,False
811830992,"VENER AV ST. OLAFS KYRKJE, BALESTRAND",,erland.fagermoen@gmail.com,,992 67 620,False,,False
811845132,VESTREFJORD BYGDEFORENING,,ragves@gmail.com,,951 98 572,False,,False
811858412,VESTRINGSBYGDA HELSELAG,www.facebook.com/Vestringsbygda-helselag-100331341563192,jostokk@yahoo.no,,924 45 977,False,,False
811862762,VENNER AV SPULSÅSEN,,lguntvei@online.no,62 42 05 65,950 75 029,False,,False
812023322,VELFORENINGEN - LEITEBAKK VEL,,,,,False,,False
812049402,VILTKORET,,viltkoret@hotmail.com,,,False,,False
812069772,VAKSDAL UNGDOMSKLUBB,,,,,False,,False
812088432,VANNØYA BEITELAG,,vi-heide@online.no,,971 16 284,False,,False
812128612,VELFERDSLAGET TELEMARK KILDEVANN AVD. FYRESDAL,,,35 06 70 60,,False,,False
812131192,VEILAG GNR. 83 BNR. 167,,,,,False,,False
812162012,VELFJORDREVYEN,www.velfjord.no/velfjordrevyen/,,,957 80 506,False,,False
812218832,VEGLAGET MALLA-VARPET,,,61 25 03 24,48052789,False,,False
812247972,VERVEN FOTBALLKLUBB,,,51 59 36 80,,False,,False
812263722,VÅR ENERGIANSATTES FORENING,,trond.myklebust@varenergi.no,52 03 10 00,932 48 873,False,,False
812479202,VELFERDEN GARDERMOEN SHUTTLE,,eribott@online.no,,45087585,False,,False
812544152,VIKINGLAUGET,,,,,False,,False
812552422,VARTDALSTRANDA SKULEKORPS,,roger.vartdal@tussa.com,,917 61 920,False,,False
812627902,VINTAGE CAR TRAVEL ASSOCIATION,,,,,False,,False
812643312,VELFORENINGEN NORDRE HALLSETVEG 14 - 18,,,,400 40 974,False,,False
812688332,VERMEDAL GRUNNEIGARLAG,,meidell@online.no,,,False,,False
812765922,VILLSAUAN,,,,97965598,False,,False
812781022,VELDEDIGHETSLØPET FOR MENTAL HELSE UNGDOM,,jpkk@ebnett.no,,,False,,False
812797832,VANYLVEN SENTERPARTI,,,,909 45 810,False,,False
812835122,VIKEN HYTTEFORENING,,borge.tronrud@gmail.com,,472 39 675,False,,False
812869612,VOMSGUTANE,,,,,False,,False
813047292,VESTRE VASSBYGD GRENDAHUS,,,,416 21 667,False,,False
813114852,VESTFOLD STRONGTEAM,www.borgeskogentrening.no,ebj@proteinfabrikken.no,,940 56 948,False,,False
813122022,VISUELL KOMMUNIKASJON SØRLANDET,,trond@terjes-trykkeri.no,37 27 03 22,980 52 471,False,,False
813190362,VOX GRØNLAND,,georg.s.hansen@hotmail.com,21 04 63 41,,False,,False
813457962,VESTERÅLEN SEILFORENING,,jacob.jacobsen@trollfjord.no,,900 95 240,False,,False
813509482,VINSTOKKEN,,magnus53@online.no,,91813148,False,,False
