organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811837032,AUKLANDSHAMN BEDEHUS,,,,,False,,False
811886092,AG MC,,,,,False,,False
811891282,AUTTIMAA,,,,412 28 822,False,,False
811944742,AVANO-KORSANG,,mokhtarbarazesh@hotmail.com,,90662375,False,,False
812056352,ANDIVOLLEN HYTTEFORENING,,,,,False,,False
812074482,AKARANGA,,akarangakacu@gmail.com,,918 54 627,False,,False
812117882,ANDØY VÆRRING,,baskoglund@gmail.com,,416 60 808,False,,False
812544772,AUSTRHEIMVÅGEN BÅTFORENING,,karstvaa@online.no,,97668322,False,,False
812569252,AFS TRONDHEIM,,trondheimafs@gmail.com,,413 81 269,False,,False
812635832,ARCTIC LIGHT,www.midnightsunfestival.net/,midnightsunfest@gmail.com,,400 52 403,False,,False
812830902,APELVIKSÆTRA SKOGSVEG,,aage.brusdal@mimer.no,,,False,,False
812853902,ASSOCIACAO EVANGELICA BRASILEIRA EM KRISTIANSAND,,mica204@hotmail.com,,,False,,False
812861832,AFZAL MERA ASHIANA,,sobia_rafiq75@hotmail.com,,406 02 402,False,,False
813139472,ASKER OG BÆRUM NATURISTFORENING,www.naturist.no/abnf,terknud@online.no,,408 46 575,False,,False
813251442,ARNA MOTORSPORT,,arna.motorsport@gmail.com,,464 17 764,False,,False
813291142,ALMÅSGÅRDENES VENNER,,almaasgaardenes.venner@gmail.com,,,False,,False
813374692,AFRIKA KUNNSKAPS FORENING AKF,,jmvkam@yahoo.fr,,975 99 071,False,,False
813546892,AVLØP NORGE,www.avlopnorge.no,rune@ecobio.no,69 89 30 90,901 51 873,False,,False
813643812,ANDØY SWING OG DANSEKLUBB,,swingklubben@gmail.com,,91542651,False,,False
813722852,ALVDAL BYGDEUNGDOMSLAG,,torbjorns@hotmail.com,,477 05 728,False,,False
813740362,AUNØYAS VENNER,,,,918 08 886,False,,False
814040992,AVERØY VOLLEYBALLKLUBB,www.avbk.no,post@avbk.no,,466 26 527,False,,False
814170462,AKERSHUS MS-SAMMENSLUTNING,,bentesneis@hotmail.com,,932 66 108,False,,False
814262812,AGDER FREMSKRITTSPARTIETS UNGDOM (FPU),fpu.no,kasper.johansen@fpu.no,,+4790411811,False,,False
814263622,AUSTRE VARDANE VEL,,austrevv@gmail.com,,900 46 487,False,,False
814309762,AFRY PERSONALKLUBB SANDEFJORD,,brian.fox@afry.com,,414 10 099,False,,False
814310922,ATTFØRINGSBEDRIFTENE I NORDLAND,,borge.boyum@bodoind.no,,473 94 541,False,,False
814339742,ARNE BYBERG AS KLUBBKASSE,,erlend@arnebyberg.no,,950 24 322,False,,False
814344142,AFRICAN SHOES,,mariakarlin1@hotmail.no,45 51 38 98,968 85 028,False,,False
814525252,AGAT- OG TOPASVEGEN VELFORENING,,sigrid@malregnskap.no,,993 83 003,False,,False
814531082,AVANT,www.avantkvinner.no,post@avantkvinner.no,,,False,,False
814561542,AVINOR SENIORFORENING AVD TROMSØ,,olafkvaal@gmail.com,,900 63 827,False,,False
814794202,ASVL NORD,,anita@asvovardø.no,,900 47 125,False,,False
814948552,ARENDAL OG OMEGN KRIGSHISTORISKE FORENING,www.arendalkhf.no,rune.gjeruldsen@outlook.com,,,False,,False
814999262,AMFIETS VENNER,,,,,False,,False
815015622,AMERICAN CAR CLUB MÅLSELV,,,,,False,,False
815039122,ALTAFJORD FISKARLAG,,,,,False,,False
815090012,AVA MUSIKK GRUPPE,,kordb@online.no,,411 90 994,False,,False
815193482,AUKRA REVMATIKERFORENING,,aukra.mr@revmatiker.org,,934 09 865,False,,False
815210212,ARNBAKKEN PARKERINGSPLASS,,,,,False,,False
815319222,ASKEHAVN BÅTFORENING,,,,,False,,False
815331052,AKTIVISTSERVER,,henrik.ormasen@gmail.com,,,False,,False
815440102,ALGRØY BÅTLAG,,,,,False,,False
815488512,AXFLOW BEDRIFTSIDRETTSLAG,,,22 73 67 00,,False,,False
815510372,ARBEIDSSKULEN PÅ EIDE,,ola@jelsa.no,,,False,,False
815586352,AMBULANSEFLYGERNES VELFERDSKLUBB BRØNNØYSUND,,magne@lufttransport.no,,97 04 41 26,False,,False
815904982,AUSTAD GAMA,,ragnhildsordal@hotmail.com,,481 59 259,False,,False
815944402,ALPHA FINANCE AND INVESTMENTS AT NTNU I ÅLESUND,alphantnu.no,leder@alphantnu.no,,959 03 227,False,,False
815966422,AKLAND VEL,,,,,False,,False
816028132,ABELS FORENING,,tale.bakken.ulfsby@gmail.com,,95929767,False,,False
816148162,ASKØY TENKAFE,,bbelt@online.no,,404 04 753,False,,False
816189152,ASAP-REVYEN,,,,,False,,False
816262712,ALNES INDREMISJONSFORENING,,ove.l.alnes@gmail.com,,,False,,False
816362172,ASKER FLERIDRETTSLAG,,,,,False,,False
816566002,ACES HIGH CLUB,,,,,False,,False
