organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
811025542,CHEMI TEKNIK AS,,,22 65 41 00,,False,5.0
811141402,CARLA STUDIO AS,,,35552549,,False,5.0
811550582,CAMPUS 4 AS,,,,91630416,False,
811621382,CHRISTIANO INVEST AS,,,,,False,
811625132,COOPERAR.IO AS,,,,,False,
811634662,CASA LELLA AS,,,,91323125,False,
811789682,CLINIC BARBORA AS,www.clinicbarbora.no,post@clinicbarbora.no,,920 59 334,False,
811830232,CAPALOS HOLDING AS,,cr@capalos.no,,940 25 239,False,
811849642,CERTIFY AS,www.certify.as,,,,False,
811902632,COWBOYS AND ANGELS AS,,lerone@live.no,,952 11 150,False,11.0
811991562,CB CONSULTING AS,,aashenrik@hotmail.com,22 97 04 00,91557067,False,
812010492,CONTADOR HOLDING AS,,,,,False,
812057642,CITON INVEST AS,,,,,False,
812064002,CRUX HOLDING AS,,,,,False,
812090062,CLOFT INVEST AS,,,,458 72 382,False,
812104152,CAROLAS BUASPA & SOL AS,,,,,False,
812113232,CAR-O-LINER NORGE AS,,,33 43 02 70,90148489,False,10.0
812172492,CHRISTIANSAND BACKLINE SERVICE AS,,,,,False,
812173472,CHINA RESTAURANT SURNADAL AS,,,71 65 75 88,992 29 261,False,5.0
812259202,CASTOR KOMPETANSE AS,,,,,False,9.0
812301292,CAR OUTLET NORWAY - ELECTRIC CITY AS,,,32 85 34 00,,False,
812306782,CAMPUS 6 AS,,,,916 30 416,False,
812343602,CREDO UT PÅ TUR AS,,,,,True,18.0
812349562,CEBO AS,,,,,False,
812387502,CAFE C STAVANGER AS,,,,,False,
812429582,CONOW AS,www.conow.no,rav@conow.no,22 50 40 00,488 93 313,False,
812440942,CLIMATECH AS,,,,,False,6.0
812450352,CHILL AS,,,,951 16 806,False,
812461192,COXI HOLDING AS,,,,,False,
812487272,CHRISTIANIA HEALTHCARE AS,,,,,False,
812572202,CLOAK & DAGGER AS,,stensrud2025@gmail.com,,917 97 992,False,
812611542,CCL HOLDING NORWAY AS,,,,,True,
812662732,CRIME RECORDS AS,,,,,False,
812672932,CAMINA INVEST AS,,,,,False,
812683632,CENTURION HOLDING AS,,,,,False,
812696262,COLIN HOLDNING AS,,,,,False,
812784862,CHROST MATI BYGG AS,,,,,False,
812794922,CMEDICAL AS,www.cmedical.no,majorstuen@cmedical.no,22 60 00 50,,True,37.0
812812262,CENTERKLINIKKEN AS,,,,,False,
812855352,CCC INVEST AS,,jeruudmail@gmail.com,,900 55 388,False,
812890042,CLINIC 112 VARDA BAIG AS,,,,,False,
812977032,COOP INNLANDET EIENDOM AS,,,,,False,
812980262,CAMPUS 7 AS,,,,91630416,False,
813001152,CRAMER & CO AS,,,,,False,
813049902,CARTER HOLDING AS,,,,,False,
813103532,CARSTEN SØREIDE AS,,,,,False,
813156202,CELINN KYSTFISK AS,,,,,False,
813251892,CLOCKWORK CONSULT AS,,,,976 78 040,False,
813390272,CANASTA AS,,,,934 78 989,False,
813436612,CHILDRENS INTERNATIONAL SCHOOL MOSS AS,,beth@cisteacher.no,40001128,95277082,False,54.0
813515202,CASTOR EIENDOM OG BYGGFORVALTNING AS,,,,,False,5.0
813523272,CHRISTIAN AASBØ AS,,christian.aasbo@agderlink.no,,913 05 247,False,
813549522,COMPLETTBYGG AS,,davy@complettbygg.no,,928 80 286,True,
813582562,CHANTY AS,,,,,False,
813600862,CLK INVEST AS,,,,,False,
813648962,CECILIE LØVØS VEG 2 AS,,,,,False,
813666782,CONFURA AS,,nicklas.furberg@hotmail.com,,,False,
813681412,CAMILLAS LUNSJ & CATERING AS,,camilla71bystadhaugen@gmail.com,,952 70 017,False,
813693712,CBG HOLDING AS,,,,,False,
813699192,CAFECOMPAGNIET AS,,,,,False,20.0
813743582,CTR HOLDING AS,,,,,False,
813884062,CJME HOLDING AS,,,,,False,
813884852,CFC PYROTECHNICS AS,,,,,False,5.0
813911442,CALIFORNIA INVEST AS,www.CaliforniaInvest.no,,,41 27 34 33,False,
814039692,CREO STUDIO AS,,,,,False,
814101452,C&M INVEST AS,,cminvester@outlook.com,90 66 75 80,917 29 097,False,
814138062,CARL J. JOHANSEN AS,,,,,False,
814139212,CRMIC AS,,,,,False,
814191222,CARMENCITA NUSTAD AS,,,,,False,
814240762,CHINATI MARINE MANAGEMENT AS,www.petrosorb.no,post@petrosorb.no,55 36 04 32,974 04 715,False,
814246582,CT INDUSTRIER AS,,,,,False,
814257452,CONTEMI HOLDING AS,,,,,False,
814267172,CHARLIE STORM MESSEL AS,,,,,False,6.0
814419312,CITYSWIP AS,cityswip.no,post@cityswip.no,,,True,
814446212,CHILLI FRISØRER AS,,annelisekulvik@gmail.com,72 57 00 00,,False,15.0
814466752,CONSEA AS,www.consea.no,dc@consea.no,,986 29 169,False,
814493962,COOR OFFSHORE AS,,,,,False,
814513572,CENCIT AS,www.cencit.no,,,,False,
814545482,CRE8IV AS,,,48 47 49 72,,False,
814599892,CUISINE VITAMIN AS,www.bakerhansen.no,,,,False,22.0
814611892,CAMPIA LADE AS,,,,,True,11.0
814775402,CORINNE ALICE AS,www.corinnealice.com,mail@corinnealice.com,,901 35 884,False,
814789012,CHRISTIANIA BYGGTEKNIKK AS,www.cbtek.no,,69 87 77 22,,False,6.0
814819302,CONDOR INVEST AS,,,,,False,
814936732,C OLSEN AS,,,,,False,
814945782,CONTAIN INVEST AS,,,,,False,
814990362,CONSULTOR AS,,,,,False,
814990702,CARISMA EIENDOM AS,,,,,False,
815013972,COGITO IT AS,,,,,False,
815056302,CITYCON HOLDING AS,,,23 28 27 00,,False,
815062582,CREATIVE MILL AS,,,,,False,7.0
815105842,CHRISTOPHERSENGÅRDEN AS,,,,,False,
815146352,CURIDA AS,,,004762428300,,True,142.0
815254112,Carl B. Prøsch A/S,,,93 40 70 57,,False,
815318072,COMFIX AS,,kontakt@comfix.no,,,False,
815347102,COMPUTE HOLDING AS,,,,,False,
815367952,COOR SERVICE MANAGEMENT ØST AS,,postost@coorno.com,62 36 26 66,,False,
815480562,CALMSEAS AS,,andyhillier@calmseas.no,48 25 98 88,,False,
815593952,CLIFFS COMPANY AS,,,,,False,
815611802,COMM.SERVICE AS,,comm.se@online.no,,911 77 943,False,
815666372,COLORADO EIENDOM AS,www.coloradoeiendom.no,,41 27 34 33,,False,
815687892,CBN INVEST AS,,calixbn@hotmail.com,91 65 87 64,,False,
815714512,CARDINOR AS,,,,,False,
815882512,CA-MO HOLDING AS,,,,,False,
815902912,CKS INVESTMENT (NORWAY) AS,,,,,False,
815942132,CATTOR HOLDING AS,,,,,False,
815999622,CADINOR AS,,,,,False,
816105412,CITY MARINE AS,,,,,False,
816148812,CREATOR MAKERSPACE AS,www.creator.no,post@creator.no,,,False,
816188962,CHRISTIAN OSKARSSON AS,,,,,False,
816193222,CATINCHO AS,,,,,False,
816201462,CAROLUS AS,,,,,False,
816211182,CSS 928 AS,,,,,False,
816212812,CO FINANS AS,,,,,False,
816320992,CENTPRO AS,,thomas@centpro.no,,,False,
816376742,COMFORT TURBUSS BERISHA AS,,,,977 69 645,False,9.0
816470072,CODECASTLE AS,,,,,False,
816480922,CLEAR INK AS,,,,,False,
