organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
810098252,ODD FELLOW HUSET BODØ AS,,oddfellowhusetbodo@gmail.com,,,False,
810703342,OCTOPUS EIENDOM AS,,,22 12 87 00,,True,
810894342,ODVAR BRÅTHEN RØRLEGGERFORRETNING AS,,,62961106,,False,
811665762,O FJELBERG AS,,,22446041,,True,12.0
811669342,OPTIMUSPISTOR AS,,,,,False,
811717142,OLSEN AUTO JESSHEIM AS,,,,959 03 017,False,7.0
811838772,OPPORTUNITY INVEST AS,,post@oppinvest.no,,930 93 311,False,
811943592,ONEPOINT3 HOLDING AS,,,,,False,
811992992,OPPERUD BOLIGUTVIKLING AS,,,,,False,
812045482,OTTESTAD BILVERKSTED AS,,,,,False,7.0
812071122,OKV INVEST AS,,,,,False,
812080652,OVE HALVORSEN AS,,,,,False,
812166352,OSLO TERMOGRAFI OG BYGGTEKNIKK AS,,,,,False,5.0
812243772,OBJECT GENERATION AS,,,,,False,
812288962,OPPDAL GRAVING OG TRANSPORT AS,www.oppdalgravingogtransport.no,ogt@oppdal.com,,900 54 773,False,15.0
812322362,OLIVOS AS,,,,,False,
812356402,OSSY AS,,,,,False,
812387812,OSKAR L. HANSEN EIENDOM AS,,,,,False,
812407422,OPQM AS,,aatoesse@online.no,,91164681,False,
812489062,OZ HOLDCO AS,,,,,False,
812502522,OLAV STANGELAND AS,,,,,False,
812603612,OSLO DERMATOLOGY AS,,,,,False,
812691902,OLSEN SPESIALSERVICE AS,,,,905 34 724,False,
812715712,OBV HOLDING AS,,,,,False,
812840622,OSLO ANALYTICA AS,,,,,True,
812871102,ORVIKAN EIENDOM AS,,,71 57 22 00,,True,
813005492,OMTVEIT HOLDING AS,,hans@seljordregnskap.no,35 05 80 06,,False,
813011662,OSLO MERCHANT PARTNERS CAPITAL AS,,,,,False,
813025922,OPTIMAL INVEST AS,,,,,False,
813052792,OPTIMAL INNREDNING AS,www.opinn.no,post@opinn.no,,484 00 602,False,
813054752,OSLO GATE AS,,gateofindia@hotmail.no,22 69 09 33,,False,11.0
813085682,OSLOVEIEN NÆRINGSSENTER AS,,,,,False,
813099322,O.M TRANSPORT AS,,,,414 42 232,False,
813130262,OPPGAVEKORTET AS,www.oppgavekortet.no,,,,False,
813135922,ONSRUD NÆRINGSPARK AS,,post@alfabilsenter.no,,997 22 589,False,
813141892,OAKENSHIELD AS,,rune@eikeland.no,,413 77 856,False,
813160382,ORESTUA AS,,,,,False,
813191792,OP KNUTSEN RÅDGIVNING AS,,,,,False,
813267292,OLAV AABREKK AS,,olavaabrekk@hotmail.com,,410 43 249,False,21.0
