organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
810182482,FAGMØBLER HERMAN ANDERSEN AS,,,37 04 11 40,,False,8.0
810441682,FIDUCIA NORWAY AS,,,35552277,,False,
810483822,FRIHOLMEN AS,,,92 02 64 44,913 20 110,False,
810876832,FINN BRYNILDSRUD & SØNNER AS,www.brynildsrud.com,office@brynildsrud.com,69 25 36 17,,False,
811548022,FRØY REDERI AS,,,30 10 11 01,,False,
811593672,FLYT FORLAG AS,www.flyt.no,anne@flyt.no,22 41 17 32,928 39 473,False,
811598992,FAVORIT AS,,,51 49 14 00,958 80 650,False,8.0
811604712,FAST UTVIKLING AS,,,,,False,
811651532,FISKCENTRALEN AS,,,22 82 35 90,,False,27.0
811711462,FLYLØS AS,,larlos@me.com,,92817859,False,
811725102,FORLAND CONSULTING AS,,,,,False,
811747912,FOLLEBU BRUK AS,,,61220330,,False,
811759112,FURULI SKOGSDRIFT AS,,jfuruli@fjellnett.no,,906 90 833,False,
811809942,FORSØKSLIA AS,,post@naeringsbygg.no,73 87 98 20,926 09 593,True,
811821802,FRUZI AS,,suleman.amir.sheikh@gmail.com,,413 62 666,False,
811835862,FLÅM HOTELL AS,,account@norwaysbest.com,,,False,
811853372,FROLAND VERK AS,,rg@rasmussen.no,,,True,
811888672,Fusa Mekaniske Industri AS,www.fusamek.no,post@fusamek.no,56 58 12 59,93228324,False,16.0
811897442,FREMGAARD HOLDING AS,,,,,False,
811900052,FOODBACK AS,Foodback.com,thomas@foodback.com,,,False,10.0
811948942,FRANK EIENDOMSUTVIKLING AS,,,,91554559,False,
811955922,FORPLEININGSKOMPANIET AS,,,,,False,
811964352,FISKETORGET I OSLO AS,,,,,False,
811989592,FREYJA INVEST AS,,,,,False,
812018582,FINNØY BUSSTUR AS,,,,,False,
812030132,FASTGATE AS,,,,,False,
812039032,FINN Ø RASMUSSEN AS,,finn0606@gmail.com,,482 14 761,False,
812084232,FOSEN DYREKLINIKK AS,www.fosendyreklinikk.no,post@fosendyreklinikk.no,72 53 63 00,,False,7.0
812098292,FELIX INVEST AS,,,,,False,
812119052,FRYSJAPARKEN UTVIKLING AS,,,,,False,
812119672,FARHAN RAFIQUE AS,,farhanrafique@hotmail.com,,976 86 634,False,
812125192,FREDRIKSTAD MIKROBRYGGERI AS,,,,,False,
812159372,FUGLENE AS,www.fuglene.no,,,,False,
812164872,FOLKETS HUS NARVIK AS,,post@narvikkulturhus.no,76 96 53 90,916 48 200,False,
812179942,FRODE BARSTAD AS,,frodebarstad69@msn.com,,959 39 184,False,
812209302,FRISØRVERDEN AS,,,,,False,7.0
812226932,FOSEN SKJELL AS,,,,,False,
812276212,FEEL FREE PRODUCTION AS,,davidsigurdsson80@gmail.com,,,False,8.0
812294512,FISHGLOBE AS,,,,,False,13.0
812295322,FLEXON AS,,flexon.sandvika@gmail.com,,464 48 014,False,
812433172,FRAM ADVOKATFIRMA AS,www.framadvokat.no,post@framadvokat.no,64 90 80 00,,False,
812467492,FIT4FUN AS,,sivsolberg@gmail.com,,934 05 050,False,
812491512,FOSEN PIZZA AS,,,,,False,19.0
812511262,FOTBALLSJAKK AS,,,,,False,
812511432,FAGMALEREN FRED THORSEN OG SØNN AS,,,,95227730,False,12.0
812520792,FRAKT SUND AS,,,56 16 72 80,,False,
812547372,FUSA CATERING AS,,,,47399986,False,
812571532,FINSNEKKEREN AS,www.finsnekkeren.com,sean@finsnekkeren.com,,473 50 103,False,
812575422,FINNEIDFJORD INDUSTRIER AS,www.mills.no,mills@mills.no,22 80 86 00,,False,
812579622,FRIDAHL EIENDOM AS,,post@fridahl.no,,,False,
812580132,FEMTIFEMTI AS,,enraknes@gmail.com,,411 47 195,False,
812605992,FETSUND TANNKLINIKK AS,,,,,False,6.0
812610392,FINA HOLDING AS,,,,,False,
812648802,FESTNINGEN EIENDOM OSLO AS,,,,,False,
812702602,FRYDENBØ ÅSANE AS,,,,,False,
812719882,FERNLØF AS,,,,977 79 749,False,12.0
812799932,FUTUREFROGS AS,,,,,False,
812881442,FLYGIND AS,,,,,False,
812971972,FURU EGG AS,www.furuegg.no,,,920 10 738,False,14.0
813025582,FERNER JACOBSEN AKTIESELSKAP,,post@ferner.no,22 86 24 00,,False,55.0
813052962,FJELLMYR INVEST AS,,ial@kopervikgroup.no,,901 62 944,False,
813055252,FOLLO FLIS & BAD AS,,tsolaki@online.no,,907 98 710,False,
813124912,FIRBENT TERAPI AS,www.firbentterapi.no,helle@firbentterapi.no,,476 21 363,False,
813143232,FLOORDESIGN EXPRESSIONS AS,,,,,False,
813171902,FH CONSULT AS,,,,,False,
813180022,Flash Design A/S,,,22 46 04 10,,True,
813212382,FJORD CAPITAL AS,,,,,False,
813226162,FIMREITE BERGBORING AS,,jogarden@online.no,,465 81 000,False,
813290332,FOSEN UTBYGGING AS,,inge.blomso@ibtech.no,,911 79 435,False,
813323532,FYSIO FORUM AS,,,,,False,
813340402,FURE STENSRUD AS,www.modernfarmers.no,contact@modernfarmers.no,,,False,
813343932,FILÉT DESIGN AS,,,,,False,
813346362,FOGTMANN CONSULTING AS,,,,917 30 507,False,
813387042,FORS FYSIO AS,,,,,False,
813397552,FRUKTGÅRDEN AS,,,,,False,17.0
813406802,FH GRUPPEN AS,,,,,False,
813452642,FOTOGRAF MATS JENSAAS AS,www.matsjensaas.com,post@matsjensaas.no,75 21 10 00,,False,
813459892,FLODIN HOLDING AS,,kristian@kristianflodin.no,,915 12 491,False,
813481162,FALKENÅS CONSULTING AS,,,,,False,
813492202,FANCYPANTS PRODUCTIONS AS,,,,,False,
813508842,FRANK MYKLESTAD AS,,fmy@broadpark.no,55 31 26 38,996 33 739,False,
813513102,FJ KLIMA NORGE AS,www.fjklima.no,,,,False,6.0
813539772,FANEBUST CONSULT AS,,helge@fanebust.org,,,False,
813561212,FORNEBU BUTIKKDRIFT AS,,jesoevik@frisurf.no,,45917125,False,
813587912,FUSA LYD & LYS AS,,fll@fusalydlys.com,,926 70 548,False,
813595052,FH SCANDINOX NORGE AS,www.fhscandinox.com,rune@fhscandinox.com,48 85 46 99,,False,13.0
813625652,FABRIKAMM AS,,,52 71 95 00,,False,8.0
813646102,FLYDAL SNIKKARSERVICE AS,www.snikkarservice.no,post@snikkarservice.no,,984 39 358,False,
813655462,FULL ON AS,,,,,False,9.0
813660792,FIRMA FIRMALUND AS,,,,,False,
813671972,FINNROSE AS,,,,,False,
813693402,FROMHOLTTUNET AS,,,,996 11 676,False,
813721562,FRANSHAGAN BYGG AS,,,,,False,
813776502,FOOD HEAVEN HOLDING AS,,,,,True,
813828332,FJELLSIKRING SØR AS,,,,,False,12.0
813835592,FJORD MONTERING AS,www.fjordmontering.no,post@marcontrol.no,93 06 54 27,,False,
813836122,FJORD CAMPERS AS,,,,,False,
813849992,FOSSEKALLEN EIGEDOM AS,,,,,False,
813860112,FOSSEGRENDA 13 AS,,,,,False,
813942682,FRAMO HOLDING AS,,,,,False,
814014142,FRIDTJOV KVERNLAND AS,,skrenten@yahoo.no,,901 32 475,False,
814041042,FINNSNES TAXI EIENDOM AS,,,77 84 22 60,,False,
814057852,FRUDALSRINDANE AS,,,,,False,
814064972,FJOSEBERG AS,,,,,False,
814067572,FOLLOFORSK AS,,,,,False,
814080072,FLAKK HOLDING AS,,,,,False,
814140342,FJERBY HOLDING AS,,,,,True,
814154092,FK-INVEST AS,,,,,False,
814156192,FOLLO AKTIV AS,,,,,False,
814213242,FISKUMPARKEN AS,www.fiskumparken.no,,,,False,
814226522,FELIX CAPITAL AS,,therese@rpe.no,,996 25 441,False,
814250172,FELLINGFORSEN PANORAMA AS,,,,,False,
814250822,FOKUS ØYEKLINIKK HOLDING AS,,,,,False,
814305732,FOSSROCK AS,,kf@kjellfoss.no,,971 99 416,False,
814322572,FONDENES AUTO AS,,,,,False,5.0
814399982,FRYDENLUND CAPITAL AS,,bihauger@online.no,,951 08 080,False,
814407772,FANA BEGRAVELSESBYRÅ AS,,,,,False,
814439062,FOLLA ALGER AS,www.follaalger.no,torben@follaalger.no,,476 20 858,False,
814450562,FJELLSTUA DRIFT AS,,,,,False,31.0
814469832,FINDS YOUR NEXT BUSINESS AS,,,,,False,
814487172,FRI HOLDING AS,,kjetil.friestad@risa.no,,,False,
814548082,FRIDA BRUNVOLL AS,,karl@renkus-heinz.com,,926 89 440,False,
814562042,FB2 INVEST AS,,cdm@convergence.as,,412 11 707,False,
814565432,FASTTRADE AS,,,,,False,
814586782,FRYA STAV & LAFT AS,,to-schei@online.no,,958 83 888,False,
814724492,FINNMARK HAVFISKE AS,www.akersea.com,firmapost.havfisk@leroy.no,70 11 86 00,,True,
814729982,FUNNEFOSS TRESLIPERI AS,,,,,False,
814747352,FARBOSS AS,,,,,False,
814765032,FILTER EIENDOM AS,,knut@filterarkitekter.no,97 53 55 61,,False,
814930262,FJORD ØKONOMI AS,,,,,False,
814985962,FOTO STUDIO UTLEIE AS,,,,,False,
815007042,FREDENSBORG 03 AS,Heimstaden.no,,,,False,
815008162,FRANKE ONSRUD EIENDOM AS,www.fobl.no,fredrikke@fobl.no,23 00 80 62,98216350,True,
815042662,FERWIL HOLDING AS,,,,,False,
815056922,FRIBER AS,,,,,False,
815104242,FSS SOLUTIONS AS,,,,,False,
815107012,FRANSHAGAN HOLDING AS,,,,,False,
815128982,FREMTID INVEST AS,,,,,False,
815188462,FRONTLINE INVEST AS,,,,910 00 001,False,
815192982,FIGUR AS,,,,,False,
815294572,FIANO ERBALUCE AS,,,,,False,
815304292,FOTTERAPAUTEN MONICA HENRY AS,,bente.forli@oestregnskap.no,94 05 52 20,,False,
815325222,FX FRODE AS,,,,,False,
815343492,FONNES BIL EIENDOM AS,,,,,False,
815346572,FAZENDA UTVIKLING AS,www.fazenda.no,post@fazenda.no,,,True,
815443942,FULTRON AS,,,,,False,
815458842,FRYDENSBORG GÅRD HOLDING AS,,trinejo@gmail.com,,982 07 160,False,
815478932,FLIKKE FILM AS,,,,,False,
815494202,FS HOLDING SØR AS,,,,,False,
815508432,FONTHILL MANAGEMENT CONSULTING AS,,fonthillmanagementconsulting@gmail.com,,,False,
815548442,FRÆNAVEIEN 126 AS,,otf@flatakervvs.no,,911 90 199,False,
815592042,FØNIX CC STADION AS,,,,,False,70.0
