organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
810926252,GRØNT MASKIN AS,www.grontmaskin.no,post@grontmaskin.no,69 22 53 00,,False,
811581232,GØRAN HANSEN AS,goeran.no,mail@goeran.no,,452 39 113,False,
811597732,GREFSEN BOLIGSERVICE AS,,,,,False,
811721972,GLENNEVEIEN 7 AS,,,,,False,
811815942,GLADHAUG HOLDING AS,,,,,False,
811861782,GRØDET INVEST AS,,paal.devold@servitech.no,,992 19 638,False,
811875732,GKS HOLDING AS,,,,,False,
811897272,GRAND ROYAL HOTEL AS,grandnarvik.no,therese.langbakk@strawberry.no,76 97 70 00,,False,95.0
811910732,GABRIELSEN & OLSEN EIENDOM AS,,bea@nemas.no,,,True,
811989142,GRUNN-SERVICE EIENDOM AS,,,,,False,
812041622,GRACEWAVE-GRACE WATER VENTURES AS,,,,,False,
812089722,G EIENDOM STEMMANE AS,,,,,False,
812170252,GDX AS,www.gdx.no,post@gdx.no,,994 40 204,False,10.0
812199412,GULBRANDSEN INVEST AS,,,,,False,
812218522,G.R. INVEST AS,,,,913 15 548,False,
812250442,GOA AS,,murmestergoa@hotmail.com,41 50 04 68,,False,
812268902,GLEDER INVEST AS,,,,,False,
812284932,GINGA BYGG AS,,,,,False,
812398512,GARNBUNTEN IDE OG DESIGN AS,,,,,False,
812402382,GARTEN SJØHUS AS,www.garten.no,post@garten.no,,957 71 811,False,
812435132,GROSSISTBYGG AS,,raa@alltecservices.no,,934 90 955,False,
812460722,GM INOVATION AS,,,,,False,
812477862,GRANITT HOLDING AS,,,,,False,
812505572,GRINDA BILDELER AS,,,,,False,
812520172,GRAND CRU HOLDING AS,,,,,False,
812520482,G OG C HOLDING AS,,,,,False,
812561162,GIMSE EIENDOM MELHUS AS,,,,,False,
812637312,GRINDAHEIM INVEST AS,,atk@acgroup.no,,,False,
812637762,GH KRAN AS,,,,,False,
812699792,GOLDBOX AS,www.goldbox.no,post@goldbox.no,,934 87 481,False,8.0
812716492,GRESSVIK BLOMSTER AS,,,69 35 33 30,,False,
812765752,GUELL AS,,torleif@trh-as.no,,958 36 409,False,
812791052,GLOBAL SEAFOOD AS,,dnr@globalsalmon.no,,926 08 642,False,
812805452,GK EIENDOMSSERVICE AS,,andre.grimlid@gmail.com,,942 04 838,False,
812901982,GERT STEINE HOLDING AS,,,,,False,
812972642,GLØRSTAD GRAVING AS,,,,,False,
812977202,GHT AS,,,,,False,
812978632,GREP ULTRA AS,,es@cbre.no,,900 37 295,False,
813016362,GINTAS BYGG AS,,gintas.zemaitis@gmail.com,,,False,7.0
813020912,GLITNE AS,,,,,False,
813121352,GRANDLAB AS,,bjarne@kitekom.no,,908 55 609,False,
813123592,GODATA AS,,,,,False,
813134152,GILDEVANGEN EIENDOM AS,,,,,False,
813172372,GRØJBDLE INVEST AS,,,,,False,
813175002,GREEN TRADING AS,,,,92266464,False,
813184842,GUTTULSRØD EIENDOMSMEGLING AS,,,,,False,
813195402,GJESDAL MOTOR AS,,ronni_gjesdal@hotmail.com,92 49 52 92,,False,
813221322,GRYS KLIPPERI AS,,,,,False,
813229722,GRAAWE-JACOBSEN AS,www.graawejacobsen.no,post@graawejacobsen.no,,,False,
813300362,GALTUNG KOMPETANSEUTVIKLING AS,,jgaltun@online.no,,959 71 754,False,
813361612,GIERCKSKY+NILSSEN AS,www.g-n.no,,,,False,
