organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811687332,INTERNASJONALT KVINNEFORUM I VALDRES,,aud.soyland@bbnett.no,,990 37 584,False,,False
811890022,IMPACT NORWAY,,irmelin.bohne@halliburton.com,,,False,,False
811985082,INDEPENDENT IRAQI NATIONAL GATHERRING,www.iing.no,iing@iing.no,,455 72 770,False,,False
812087932,ISNES VANN OG AVLØPSFORENING,,geir.sather@trosvikmaritime.no,,996 36 638,False,,False
812602012,IMAM HUSSEIN,,azamani79@yahoo.com,,46352284,False,,False
812635352,IMODALEN,www.imodalen.no,post@imodalen.no,,936 92 239,False,,False
812760742,INTERFLORA MØRE OG ROMSDAL,,,,,False,,False
812769782,IHLE TURLAG,,rt@ostlandetgjenvinning.no,,971 28 502,False,,False
812780522,IMINGFJELL HYTTEEIERFORENING,,imingfjellhytteforening@gmail.com,,,False,,False
813224232,INDRE SOGN GJETARHUNDLAG,,gurohof@gmail.com,,954 49 639,False,,False
813228432,IKOR,kor.no/om-oss/nk-vest/rogaland/ikor,elisabeth1374@gmail.com,,970 77 992,False,,False
813253992,IDRETTSLAG TRONDHEIM,,tamililtrondheim@gmail.com,,,False,,False
813918102,ISLAMSK KULTURSENTER STANGE,,,,,False,,False
813961822,INNVIKA BOLIGFELT,,zuperkristin@gmail.com,,917 13 219,False,,False
814096882,INDRE TROMS UNGE HØYRE,,indretromsuh@hotmail.com,,,False,,False
814165132,INDRE BALSFJORD PENSJONISTFORENING,,ivbor@frisurf.no,,77724897,False,,False
814331202,INDERØY PÅRØRENDEFORENING,,marry_lindsetmo@hotmail.com,,975 92 124,False,,False
814338592,IRANIAN STUDENTS-ALUMNI ASSOCIATION AT NTNU (ISAAN),,board@iranianstudorg.org.ntnu.no,,,False,,False
814445712,INDIAN ORGANIZATION OF BERGEN,www.indiabergen.no,post@indiabergen.no,,99 87 52 62,False,,False
814939332,IF PENSJONISTFORENING AVD. VESTLAND,,,,,False,,False
815044622,INTERNATIONAL POLICE ASSOCIATION GRUPPE TRONDHEIM,,frank.torgeir.nygard@politiet.no,73 89 90 90,481 61 915,False,,False
815274822,INDUSTRI ENERGI KLUBBEN I COOR,www.iecoor.com,post@iecoor.com,,,False,,False
815417712,IFI-AVIS,,ifi-avis@studorg.uio.no,,,False,,False
815457412,INORGE FORENING,www.inorge.org,inorge.ngo@gmail.com,,939 93 263,False,,False
815930312,IFI SJAKK,,,,993 28 010,False,,False
816285372,IDRETTENS HUS VESTFOLD B.I.L.,,kjetil.olsen@bedriftsidrett.no,,93066765,False,,False
816766982,IMPERIAL BRANDS KLUBBEN,,,,,False,,False
816938112,IDRETTSGLEDE NORD-NORGE,,,,,False,,False
817347622,ISRAELS VENNER I NORGE,,,,,False,,False
817349242,INGENMANNSLAND,,,,,False,,False
817551572,ISPS NORGE,www.ispsnorge.no,post@ispsnorge.no,,922 49 996,False,,False
817963862,INDERØY HAGELAG,,julla.lonvik@inderoy.kommune.no,,900 10 840,False,,False
818089252,INDRE ØSTFOLD DOMMERFORENING,,iodl@hotmail.no,,915 70 076,False,,False
818461372,INDIAN RHYTHMS,www.indian-rhythms.com,dans@indian-rhythms.com,,402 14 885,False,,False
818718942,INNVÆR GRENDAHUS,,,,,False,,False
818860072,INDRE FOSEN BYGDEUNGDOMSLAG,,ulrik_2000@hotmail.com,,988 91 747,False,,False
819318522,INDRE LEIVSET VANNVERK,,olvedjupvik@hotmail.com,,481 35 066,False,,False
820015282,INNHERRED VOGNMANNSFORENING,,,,,False,,False
820455142,IF SARAJEVO '84,,,,,False,,False
820474872,IGLETJØNN VANNVERK I NOTODDEN KOMMUNE,,,,,False,,False
820646452,IMF ÅSERAL,,,,,False,,False
820707052,INNVANDRERRÅDET I BÆRUM,,innvandrerradetibaerum@gmail.com,,976 39 748,False,,False
820829972,INDRE LILLE ROSTAVATN HYTTEFORENING,,,,,False,,False
820861612,INNLANDET VENSTRE,www.venstre.no/innlandet,innlandet@venstre.no,,917 57 926,False,,False
821183022,INSENTI AKTIV BEDRIFTSIDRETTSLAG,,,,,False,,False
821558492,INTERNATIONAL BUDDYBOARD OSLOMET,,,,,False,,False
821733332,"INDUSTRI ENERGI ASCO NORGE, AVDELING SANDNESSJØEN",,,,,False,,False
822140572,INNLANDET KLARINETTENSEMBLE,,anne.mette.mauseth@icloud.com,,916 97 430,False,,False
822158072,INKLUDERING OG MANGFOLD,,,,,False,,False
822207952,INDRE ØSTLAND KANINAVLSLAG,,,,,False,,False
822252192,INNSAMLINGSAKSJONEN FOR HLR-MASKINER I UNN-AMBULANSENE AV 2019,,,,,False,,False
822813372,INNLANDET ELEMENTFABRIKK BEDRIFTSKLUBB,,,,,False,,False
822890202,ILEBEKKROKEN VEL,,oivind.sorlie1@gmail.com,,951 06 192,False,,False
822958702,INNHERRED UTEBADEKLUBB,,,,,False,,False
823146302,IKEA FORUS BEDRIFTSAKTIVITETER,ikea.no,johnanders.johnsen@ikea.com,,924 96 741,False,,False
823253532,INTERNATIONAL VOICE OF JUSTICE-EUROPE,www.ivoj.org,ivoj.europe@yahoo.com,,920 66 445,False,,False
823266502,IMPROVE HUMAN RIGHTS,,,,,False,,False
823299672,IRAN ALIVE MINISTRIES NORGE,,,,,False,,False
823301502,INDRE HELGELAND FRISØR OG VELVÆREBEDRIFTER,,,,,False,,False
823628692,INGEN PLAN,,,,,False,,False
824321442,INDRE ØSTFOLD IDRETTSRÅD,www.ioir.no/,,,934 14 482,False,,False
824491852,IKP PHD FORUM,,,,,False,,False
824670242,IFES HUSFLIDSGRUPPE,,,,,False,,False
824836272,INTERESSEORGANISASJONEN FOR R/NORGE,,,,,False,,False
825053352,INNLANDET SENTERUNGDOM,,caa@sp.no,,992 44 339,False,,False
825512802,IDDEFJORDSVEIEN VEILAG,,,,,False,,False
825522182,INDRE ANGEDALEN GRUNNEIGARLAG,,,,,False,,False
826019042,IMC NORGE INTERNATIONAL MISSION CHURCH,,,,,False,,False
826277572,INDEPENDENT TRONDHEIM,,,,,False,,False
826309032,IDRETT FOR ALLE,,,,,False,,False
826318112,INPUT I SAMLIVET,,,,,False,,False
827333042,ISLAMSKOLE LIER,,,,,False,,False
827550752,IMPROTÅRNET,,,,,False,,False
827576352,INDIAN RESISTANCE NETWORK,,,,,False,,False
828502212,"INTERNATIONAL SOCIETY OF CARBON CAPTURE, UTILIZATION, AND STORAGE",,,,95283281,False,,False
828746162,INDRE HAVN VEL,,gt@sorlandet-rekruttering.no,,970 05 909,False,,False
828764322,INDRE ØSTFOLD GOSPEL COMPANY,,,,,False,,False
828870122,IE KLUBBEN I NOG ACCESS,,,,,False,,False
829101882,IMPRO TROMSØ,,,,,False,,False
829335492,IOGT VEST,,,,,False,,False
829344262,INGRID-ELISABETH BERGS MINNEFORENING,,,,,False,,False
829832402,INDUSTRI ENERGI I TUBOSCOPE NORGE,,,,,False,,False
829945142,INKLUDERINGS- OG UNGDOMSFORENING (IOIF),,,,,False,,False
830016732,INDRE ØSTFOLD BRETTSPILL KLUBB,,,,,False,,False
830121692,INDUSTRI ENERGI FORUM ØSTFOLD,,,,,False,,False
830261362,INDIAKLUBBEN,,,,,False,,False
830722262,INP RINGERIKE,,,,,False,,False
