organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
811577332,VIA FLAKOLL AS,,,32 84 07 58,906 42 989,False,
811592692,VERFTSGATA 28 AS,,,,,False,
811616362,VEST MARKISE AS,www.vestmarkise.no,post@vestmarkise.no,55 91 77 71,41285160,False,
811697842,VERVEN C AS,,,,,False,
811712132,VINOR AS,,vidar@gavita.no,,924 94 846,False,
811733172,VIKA MARINE AS,,,,979 40 003,False,
811754862,VOIT AS,voit.no,hei@voit.no,46 28 65 65,,True,5.0
811756172,VALLØVEIEN 62 AS,,faktura@folksom.no,,,True,
811831042,VISTI AS,www.visti.no,post@visti.no,,,False,9.0
811837962,VIGRESTAD BOLIGUTVIKLING AS,,,,92669234,False,
811901792,VINDAFJORDBONDEN AS,,frank@vinnarskalle.no,,922 38 351,False,
811992712,VILLANGER TRAFIKKSKOLE AS,,villanger@hotmail.no,,,False,20.0
812070002,VÆRSLEV EIENDOM AS,,,,454 22 222,False,
812100262,VERDSGRENDA EIGEDOM AS,,ac91aosl@staff.rcnuwc.no,57 73 70 00,917 01 816,False,
812100742,VIDAR STRAND MOTOR AS,www.vsmotor.no,,69 82 60 03,906 44 134,False,
812126032,VRT HOLDING AS,,,,,False,
812154362,VARADMIN AS,,,,,False,
812156292,VIKAVEIEN 4 AS,,,,,False,
812156632,VOSSAMORO AS,,,,,False,6.0
812159852,VEAMYR ENTREPRENØR AS,,,,,False,
812191152,VESTTOR AS,,,,,False,
812196162,VÅGEN EIENDOMSUTVIKLING AS,,rolf.nordbo@haliburton.com,,908 97 752,False,
812208942,VINGROM BUTIKKEIENDOM AS,www.ragde.no,post@ragde.no,22 62 62 20,,False,
812339222,VOSSINGEN AS,,,,,False,
812359312,VIAL AGENTUR AS,,vidara@online.no,,970 16 230,False,
812372122,VENTO NORDIC AS,,,,,False,
812385852,VÅRVIKA AS,,magne.varvik@gmail.com,,900 69 356,False,
812404822,VERSVIKVEIEN 6B AS,,,,,False,
812441752,VUVI AS,,,,,False,8.0
812442902,VARBAK CONSULTING AS,,,,,False,
812481312,VEAS RØR AS,www.veasror.no,post@veasror.no,40 06 02 02,,False,80.0
812530712,VØYENENGA UTVIKLING AS,,,23 11 69 00,,False,
812584472,VÅGÅ BRUK AS,,ola_ulvolden@hotmail.com,,990 41 322,False,
812585932,VESBU BRANDS AS,,,,,False,
812686542,VIT AS,,,,,False,
812749242,VARNAVEIEN 22 AS,,tore.holm@varnaeiendom.no,,92060908,True,
812750992,VANNESSY TIGERSPA AS,,vanessytigerspa@gmail.com,,465 87 535,False,
812802372,VINSENTRALEN AS,,,,,False,
812802402,VOLLEN HELSE AS,,,66 76 51 80,,False,5.0
812843052,VI SMAKER AS,,mydske@vismaker.no,,926 00 307,False,
812865102,VGTV AS,www.vgtv.no,,22 00 00 00,,False,34.0
812894242,VITA168 HOLDING AS,,vihuynh18@gmail.com,,911 41 170,False,
813017792,VHØ HOLDING AS,,,,909 04 155,False,
813038412,VYRDE AS,,,,909 85 156,False,
813049872,VABAMA INVEST AS,,vigdisaus@live.com,,924 62 800,False,
813055112,VISCUM AS,,,,,False,
813055422,VRS RENHOLDSSYSTEMER AS,,,,,False,
813066912,VKB VENTILASJON AS,,,,,True,
813086832,VAALEBAKKEN AS,,,,,False,
813087782,VICTOR HUSEBØ AS,,,,,False,
813120232,VISTIN PHARMA AS,,,35 98 42 00,,False,77.0
813255642,VANDRESKOEN AS,www.vandreskoen.no,info@vandreskoen.no,61 26 20 02,952 10 835,False,
813256142,VIDI MOTE AS,,,,,False,7.0
813261502,VIVI INVEST AS,,,,,False,
813286122,VIVENTE DESIGN AS,,eva@vivente.no,97 15 17 30,,False,
813303582,VT GRAVESERVICE AS,,,,,False,
813323982,VO HOLDING AS,,harvey.vo92@gmail.com,,938 44 536,False,
813355442,VESTVÅGØY TAXI AS,,,,,False,7.0
813442612,VADHEIM KRAFT AS,www.sognekraft.no,post@sognekraft.no,,,False,
813501252,VERKTØY-MASKIN AS,,,,,False,14.0
813502682,VIN OG MEDISIN AS,,,,,False,
813521342,VIKA NETT AS,www.vikanett.no,post@sullestad.no,61 16 49 96,95 11 65 85,False,
813536412,VEKO MASKIN AS,,,,,False,
813560232,VISIT NORDDAL AS,,,,996 09 118,False,
813561352,V.R. VEDLIKEHOLD AS,,,,,False,11.0
813600552,VA-RA REGNSKAPSSERVICE AS,,,,90949879,False,7.0
813682982,VALEBJØRG DESIGN AS,,andreasvalebjorg@hotmail.com,,922 99 287,False,
813702452,VINGNES NÆRINGSPARK AS,,,,,False,
813717832,VISE AS,www.vise.no,,95 81 17 71,958 11 771,False,
813914042,VIZRT GROUP AS,www.vizrt.com,,,,False,
813925362,VANDELAY AS,,,,,False,
813992272,VASKE JENTENE AS,,,,,False,
814130312,VARDALIFE AS,,henrik@vardalife.com,,900 39 141,False,
814148572,VANGEN MAT DRIFT AS,,,,,False,21.0
814154122,VICOSOL AS,,,,,False,9.0
814214842,VANCOWILL INDUSTRIAL SOLUTIONS AS,Vancowill.no,kontakt@vancowill.no,90 51 44 44,,False,5.0
814240592,VILLA 22 AS,,,,,False,33.0
814273482,VALDRES TAXI AS,,rogne@live.no,,415 14 498,False,
814292622,VESTKANTTORVETS BOLIGAKTIESELSKAP,,vestkanttorvets-boligaktieselskap@styrerommet.no,22 86 75 90,,False,
814344312,VOKSENKOLLEN UTVIKLING AS,,,,,False,
814416232,VINO PIEMONTE AS,www.vinopiemonte.no,post@vinopiemonte.no,47 97 50 00,,False,5.0
814424642,VALDOVINO EIENDOM OG BEMANNING AS,,,,995 18 202,False,
814488012,VERDAL STORBILVASK AS,,,,,False,
814530582,VESTBY NÆRINGSPARK JOH AS,,,,,True,
814575152,VERKTØY & INDUSTRI BRYNE AS,,,,,False,9.0
814605752,VARANGER SPORTSLAGER AS,,,,,False,8.0
814737772,VEKSTHUSET EIENDOM AS,,,,,False,
814768252,VERDIKJEDE AS,,helge.kokslien@gmail.com,,906 92 147,False,
814866882,VALDMANIS & CO AS,,,,,False,5.0
814872742,VARHOL EIENDOM AS,,varholeiendom@gmail.com,,,False,
814998622,VINDSJO II AS,,,,412 10 303,False,
815100832,VIKA BYGG OG EIENDOMSUTVIKLING AS,,,,,False,
815133692,VESTFOLD AUTOGASS AS,,,,930 32 091,False,7.0
815157052,VØYENENGA PIZZA AS,,voyenenga@pizzabakeren.no,,469 60 785,False,10.0
815207882,VARSHEIA AS,,,,,False,
815332342,VESTMAR SERVICE AS,,,,,True,
815345312,VÅRVEIEN RØRLEGGERSERVICE AS,,,,,False,
815380622,VD INVEST AS,,,,,False,6.0
815443802,VINKL BOLIG AS,,,,480 27 618,True,
815493362,VELDE EIGEDOMSUTVIKLING AS,,,,,False,
815504682,VINN VINN AS,,rag.sor.aas@gmail.com,,922 95 463,False,
815525302,VANSE MØLLE EIENDOM AS,,,,,False,
815525612,VARRO VEKSTPARTNER AS,,hg@hargau.no,,913 73 200,False,
815526422,VENTHON AS,,karl_toreg@hotmail.com,,951 08 764,False,
815587332,VARDHEIVEGEN 53 AS,,arnt.kare.overland@lyse.net,,920 55 843,True,
815686292,VASSBAKKEN 2 AS,,polur@sveio.kommune.no,,952 23 745,False,
815687132,VIKING ASSISTANCE AS,,,,,False,
815744152,VADIMS BYGG AS,,,,,False,7.0
815852702,VIKEN BRUKTBIL AS,,,,,False,
815855272,VELVÆRE SØR AS,,jandrange@gmail.com,92 31 70 05,905 12 612,False,
815979052,VEGA GRUS AS,,tom.rune78@gmail.com,,958 52 973,False,
815994302,VESTVOLLVEIEN 32-34 AS,,,,,False,
816006732,VARDEN SPESIALISTSENTER AS,,,,,False,
816069122,VÅLERENGA STADION AS,www.vkip.no,stig@vkip.no,,901 54 137,False,
816077842,VINSTRA TANNLEGESENTER AS,,,,,False,
