organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
810392312,METALLCO AS,,post@metallco.com,23 14 26 10,,True,47.0
811620882,MILJØSTEIN NORGE AS,,,,,False,
811630322,MOBILITY DOCK AS,www.bluelogic.no,post@bluelogic.no,91 00 69 50,,True,
811684872,MANOV GLOBAL AS,,stefan@monovsales.no,,949 77 719,False,
811704032,MORGEDAL EIGENDOM AS,,rune@me-as.no,,488 52 607,True,
811722502,MALERMESTER RUNE JANJAK AS,,,,,False,
811730912,MTM SKOGSERVICE AS,www.mtm-skogservice.no,post@mtm-skogservice.no,,,False,
811742392,MADRIGAL AS,,,,,False,
811751502,MALERMESTER BRAUTE AS,www.braute.no,firmapost@braute.no,,90 54 10 00,False,11.0
811770752,MCRENT NORGE AS,,norge@mcrent.no,,970 55 696,False,
811806722,MIKONSULT AS,mikonsult.no,mikonsult@online.no,,901 37 800,False,
811823112,MAMMA MIA RESTAURANT AS,,,,,False,11.0
811824712,MRBEE AS,,,,,False,
811856622,MASKINOPPLÆRING AS,,,,,False,
811882712,MIMA MONEYMAKER AS,,,,,True,
811941492,MIN KOMPETANSE AS,,safir@safir.no,91 00 86 50,,False,
812019392,MIKS AS,www.miks.as,info@miks.as,69 00 51 61,400 80 488,False,
812038672,MKM & SØNNER AS,,,,925 18 930,False,
812038842,MARIN RØR AS,,,,,True,16.0
812047612,MJOLLNIR INVEST AS,,,,,False,
812049232,MORTEN HAAVE AS,,,,,False,
812059912,MORTEN LIE HOLDING AS,,,,,False,
812077902,MUSIKK OG UNDERHOLDNING AS,,,,,False,
812080482,MJØSBETONG AS,,,62 57 77 77,,False,9.0
812100912,MAT & MENING AS,,,,,False,
812102982,MOSK HOLDING AS,,,,,False,
812161032,MELØY SOL & TRENING AS,,,75 75 51 41,,False,
812162632,MJÅVANN 13 D 4 AS,,post@kartraf.no,,479 64 000,False,
812192752,MARINEHOLMEN TEATERBYGG AS,,eiendom@gcrieber.com,,,True,
812206532,MOVERE ØKONOMI & REGNSKAP AS,www.movere.no,kalid@movere.no,,915 72 247,False,8.0
812212362,MSA INVEST AS,,,,,True,
812221442,MANDUKA AS,www.hoff-fysio.no,gaute@hoff-fysio.no,22 50 66 95,,False,
812232282,MAGS HOLDING AS,,magne@fgeiendom.no,,92 08 31 03,False,
812262432,MASKIN UTLEIE AS,,,,,False,
812309722,MARTINSEN ENTERPRICE AS,,martinsen.enterprice.as@gmail.com,,991 16 668,False,
812418572,MØBELRINGEN ALNA AS,,,22 22 99 99,90746070,False,20.0
812429922,MERGUS CAPITAL AS,,,,,False,
812435302,MERICONSULT AS,,morerichs@gmail.com,,907 36 398,False,
812460862,MORSEI & BESTIS AS,,,,,False,
812467832,MESH YOUNGSTORGET AS,,,,,False,23.0
812471902,MTB BYGGSERVICE AS,,thom.aanonsen61@gmail.com,,918 12 267,False,
812481592,MØLLAREN CAFÈ AS,www.mollarencafe.com,post@mollarencafe.com,55 70 57 99,909 97 677,False,5.0
812522612,MOLTEMYRA AS,,ivar@alignconsulting.no,,924 70 686,False,
812526162,M2 AGENTURER AS,,marie@aas-engelstad.no,22 14 64 25,909 99 099,False,
812539442,M & I BEARBEIDING AS,,,,,False,
812576992,MJÅVANNSPARKEN EIENDOMSDRIFT AS,,,,,False,
812577972,MINIHUS QUALITY AS,,post@saunaservice.no,,950 14 144,False,
812599852,MANOV DESIGNA AS,,,,,False,
812607022,MONKEY BYTES AS,www.monkeybytes.no,post@monkeybytes.no,,408 50 013,False,
812636022,MELSOMVIKVEIEN 6A AS,,,,,False,
812637932,MORINGEN PUB AS,moringen.wordpress.com,,,,False,
812663062,MOMSCONSULT AS,,thor.middelthon@lyse.net,51 55 68 90,959 21 598,False,
812663852,MAGISTER AS,,maria@granlund-opplaring.no,,412 74 004,False,
812703412,MIDAS HOLDING AS,,bflaatrud@online.no,,996 18 686,False,
812739522,MARVENNE AS,,hjalmar@marvenne.no,,404 07 840,False,
812773852,MILI ØKONOMI AS,www.miliokonomi.no,stein@miliokonomi.no,,913 93 248,False,
812782142,MAX MASKIN AS,,haga-racing@hotmail.com,,450 68 205,False,
812786822,M&M FRISØR AS,,,,412 17 172,False,
812799002,MELCHIOR HOLDING AS,,,,948 76 708,False,
812807412,M&R BAKKE HOLDING AS,,,,,False,
812824562,MOTUS AKTIVITET AS,motusaktivitet.no,tina@motusaktivitet.no,,452 00 959,False,
812847902,MAYFAIR CAPITAL AS,,post@texcorp.no,92 60 28 38,,False,
812849352,MEMA KJEVEORTOPEDI AS,,maryam.mehdinia@gmail.com,,,False,
812864572,MARITIME SERVICE BREMANGER AS,,,,918 84 528,False,
812866702,MEDKILA EIENDOM AS,,,,,False,
812881752,MI-MO AS,,,,,False,
812953052,Marina AS,,,64946533,,False,
813016702,MAKE ARKITEKTER AS,,,,,True,7.0
813024292,MLR HOLDING AS,,,,,False,
813049082,MARLENES FOTKLINIKK AS,,,,,False,
813050382,MEGALO MEDIA AS,,,,,False,
813059312,MØRKVEDTUNET AS,,,,,False,
813069512,MALERMESTER MORTEN VEFFERSTAD AS,,,,909 82 739,False,
813074222,MIRINGO AS,,,,,False,
813078732,MS KYST AS,,lars@ljohnsen.no,,913 99 716,False,11.0
813107112,MOAMO AS,,monica@alphaas.no,,995 04 819,False,
813111942,MØYSALFISK AS,,,,,False,
813146452,MOORING DRAMMEN AS,,,,,False,7.0
813158582,MURMESTER RUDI BJELLAND AS,,rudi.bjelland@hotmail.com,,941 61 373,False,5.0
813168332,MORRELL AS,,morrell.michaela@gmail.com,46 41 97 02,,False,
813206382,MADAME & MONSIEUR AS,,,,,False,
813210932,MURMESTER STENSRUD AS,,,95 48 52 53,,False,
813220342,MOAR CAPITAL AS,,,,,True,
813275902,MOVE1 AS,,,,952 72 225,False,
813279592,MARTIN WOLD INVEST AS,,,,,False,
