organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
810059672,AASEN & FARSTAD AS,,,71 23 24 56,41643007,False,
810094532,ALSTRAY AS,,nilsgauslaa@gmail.com,,975 84 725,True,
810130822,ALSTRA AS,,,37 15 62 83,,False,
810274042,ARNESEN EIENDOM AS,,,77 66 36 00,,False,
810359862,AUTOBJØRN A/S,www.autobjorn.no,,23 03 10 20,97729988,False,13.0
810431172,AS SCAN-WOOD,,,,901 85 470,False,
810574232,AS TROMSØ AUTOMOBILCOMPANI - AS TACO,,,94 16 66 66,,True,12.0
810855762,AS CHR BRUN TORVET,,,,,False,
811162582,AS GISLE GAARD,,,,,True,
811167452,AS DEN NATIONALE SCENE,www.dns.no,dns@dns.no,55 54 97 00,,False,195.0
811235482,ARNE DULSRUD AS,,,,,True,
811563382,AKA TELECOM AS,www.akatelecom.no,aka@akatelecom.no,,928 12 639,False,
811577472,AKTIVA HW13 AS,,,,,False,
811577642,AK SHIPPING & CHARTERING AS,,,,,False,
811578282,AARSTAD BYGG CONSULT AS,,post@aarstadbc.no,48 15 57 47,,False,
811593362,ALTERA INFRASTRUCTURE CREWING AS,,,,,False,
811594172,ARNE HAUGLI AS,,,,,False,
811604542,ALF AS,,,,,False,
811605212,AA-TVERRELVA KRAFT AS,www.fortevannkraft.no,vibeke.solum@fortevannkraft.no,22 86 55 00,950 31 733,True,
811607002,ACEA DEVELOPMENT AS,,,,,False,6.0
811613932,AXELAR AS,,,,,False,5.0
811634182,AS H GABRIEL FINNE & CO ARKITEKT OG KONSULENTFIRMA,,,,,False,
811649422,APRH HOLDING AS,,anette.hemmingby@gmail.com,63 81 07 59,476 40 620,False,
811673862,ADELIN AS,,adelin@fjeldskaar.no,,900 17 745,False,9.0
811675482,ANDRE J UGLAND HOLDING AS,,,,97047714,False,
811716162,AUGLAND BYGGSERVICE AS,,,,951 04 157,False,
811731242,AKADEMIET TOPPIDRETTSGYMNAS ÅLESUND AS,www.akademiet.no,alesund@akademiet.no,70 13 42 10,917 36 800,False,38.0
811740802,ALMENNINGSBUTIKKEN AS,,lars@b-t-a.no,,,True,20.0
811742082,ALCORP AS,,,,,False,
811745952,AGEBAKKEN AS,,,,,False,
811748072,AUDLY AS,,,,,False,
811767522,ARKITEKT EVEN AURSAND AS,,,,481 21 523,False,
811772402,ACERTAS AS,,md@kverva.no,,901 12 334,False,
811805432,AI KRAFTHANDEL AS,,gmf@folkekraft.no,,930 18 697,False,
811839272,ABC-DYREKLINIKK LILLEHAMMER AS,,,,,False,6.0
811839752,AMARINE AS,,,,,False,
811858722,AGENTURER AS,www.appeler.no,admin@appeler.no,41 21 41 41,,False,
811880612,ADVOKAT STIG E. MORTENSEN AS,www.advokatlofoten.no,,76 07 44 00,,False,
811939412,ARKHEN AS,,arne@psv.no,,,False,
812015362,ADVOKATFIRMAET STEINSVIK AS,,steinsvik@advokat.org,22 20 25 00,91888667,False,
812015672,ARCTICELVIS AS,,,,,False,
812029762,ASCENT AS,ASCENT.NO,tehansen@ascent.no,,976 37 273,False,
812049992,AMORS BILER AS,www.rent-a-wreck.no/location/norge/harstad-evenes-airport/,bilutleie@jldekksenter.no,,918 34 261,False,
812084062,A O GREVSTAD EIENDOM AS,,birger@aogeiendom.no,,916 65 468,False,
812100092,AUTO2 AS,,sohail031@gmail.com,,93000516,False,
812101382,ANGELTVEIT INVEST AS,,nils@instinct.no,,970 73 603,False,
812124102,ACTIV EIENDOMSUTVIKLING AS,,,,,False,
812124412,AM MEK VERKSTED LAKK CUSTOMS AS,,,,905 95 184,False,
812159062,ASKEPOTTS RENHOLD AS,,askepotts.renhold@gmail.com,,950 10 546,False,16.0
812160842,A.S. MONTASJE AS,,,,,False,9.0
812168142,AAS DALE AS,,,,450 25 646,False,
812235362,ADVOKATFIRMA COMPLIANCEPARTNER AS,,,,,False,
812268732,ANLEGGSARBEID AS,,,,90920897,False,
812269062,ANDANTE AS,,terje@terjedahl.no,,911 66 024,False,
812283952,ALTA MC-SHOP AS,,,,908 24 893,False,
812328662,AS FERN,,,,,False,
812357042,ADVOKATFIRMAET PARMER AS,advokatparmer.no,ep@advokatparmer.no,69 17 50 80,,True,6.0
812400312,ASTROLOGISKOLEN HERKULES AS,,,,,False,
812425242,AKTIV LYKKE AS,,,,,False,
812484052,APT DEVELOPMENT AS,,petter@suas.no,41 31 90 32,,False,
812486632,ATV MAGASINET AS,,,,,False,9.0
812519832,ACCENDO INVESTMENT MANAGEMENT AS,,,,,False,
812523872,AUTOMATIK VENTILER SYSTEM AS,www.avs.no,postmaster@avs.no,66 99 74 00,461 35 337,False,5.0
812603272,ATLAS ENGINEERING AS,,,,,False,
812628542,ART FRISØR SALONG AS,,,,,False,8.0
812629972,A. WIST HOLDING AS,,arnhildw@hotmail.com,,930 13 366,False,
812668722,ATYS AS,,,,,False,
812676342,A HILLING AS,,post@hilling.no,75 77 25 52,,False,
812702742,ACEVE NORGE AS,,,,,False,36.0
812756532,ALEL HOLDING AS,,,,,False,
812762052,AGDER SKOG AS,,,,901 57 143,False,
812796712,ARAGON MEDIA AS,,,,,False,
812811762,ARILD BJERKÅS HOLDING AS,,,,,False,
812865242,AKTIVITETSKLINIKKEN AS,,monica@aktivitetsklinikken.no,,951 04 545,False,
812889192,AUSTIN LYNGMYR & CO ADVOKATFIRMA AS,,austin@aladvokat.no,64 93 86 00,,True,12.0
812972022,AGILO AS,,,,,False,
813047462,ALI HOLDING AS,,,,,False,
813095742,ARCA TRADING AS,,,,,False,
813142732,ALTIMONT AS,,,,,False,
813176092,ALTISOFT AS,,,,,False,
813184672,ABS-TEKNIKK AS,,,,,False,14.0
813185482,AUTOSERVICE VIKEN AS,,,,415 48 740,False,7.0
813191202,ARNE LERSTAD AS,,,,,False,
813194392,ARCHER WELL MACHINING AS,,asc@archerwell.com,51 30 80 00,,False,
813226472,ALBMI ADVENTURES AS,www.albmi.no,andre@albmi.no,,940 53 795,False,
813235552,ADMMIT AS,admmit.no,post@admmit.no,99 45 51 11,,False,14.0
813289342,AREAL BYGG-TAKSERING AS,,,,906 91 424,False,
813291622,ARES DETECTION AS,,br@aresinvest.no,,911 19 074,False,
813295482,ALPHA-SECURITY AS,www.alphasecurity.no,post@alphasecurity.no,96 00 90 30,,False,33.0
813298422,AYAANZAN SHOP AS,,,,,False,
813302152,ARB INVEST AS,,,,,False,
813302632,ARKWRIGHT X AS,,,23 11 67 00,,False,
813340372,AUNIVI INVEST AS,,,,,False,
813353482,ARMANO BYGG AS,,,,,False,
813365332,AMELCO AS,,,,,False,
813367122,AC KLIMA AS,,,,,False,
813408422,AGUILA INVEST AS,,laila@brg.no,55 55 91 00,,False,
813409682,ADVOKATFIRMAET ROGSTAD AS,www.advokat-rogstad.no,post@advokat-rogstad.no,,925 05 050,False,51.0
813412802,ALFARNES ENTREPRENØR AS,,anita_rykkje@hotmail.com,,958 51 590,False,
813422832,ANLEGG & SERVICE AS,,,,,False,
813458942,AUKE RØR AS,,,,414 14 252,False,
813459922,ARENDAL CATERING AS,,jonassondergaard@outlook.com,,982 83 222,False,10.0
