organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
811320862,KLINGVIG AS,,,,,False,
811576972,KOMÉT TRAFIKKSKOLE AS,,rune_andre87@hotmail.com,,91 37 04 83,False,
811605352,KLAUVA KRAFT AS,,obos@obos.no,22 86 55 00,,True,
811610402,KATTNAKKEN AS,,,48 33 97 13,,False,18.0
811614262,KADERIA AS,,,,,False,
811618772,KEISER RESTAURANT AS,,,,,False,8.0
811636282,KVALITETSSNEKKEREN AS,,,,950 48 904,False,
811651842,KVERNMO EIENDOM HOLDING AS,,,,,True,
811684732,KNAPPSKOG PANORAMA AS,,,,,False,
811759422,KALINKA NAILS AS,,,,,False,8.0
811840432,KVALEBERG AS,www.kvalebergas.no,kvaleberg@kvalebergas.no,,,False,
811849332,KENNETH FOSS AS,,kenneth_foss@hotmail.com,,97 01 94 07,False,
811851612,KARLSAUNE MASKIN AS,,,,,False,
811928682,KEBAKS AS,,,,,False,
811999032,KLINIKK RØA AS,www.klinikkroa.no,post@klinikkroa.no,,906 44 906,False,
812026992,KAM LIFTING CONSULT AS,www.KAM-Lc.no,,,,False,19.0
812040332,KVEFI AS,,,,,False,
812051032,KA 53 HOLDING AS,,,,,False,
812055372,KB BYGG AS,,,,,False,8.0
812097482,KPLUSS AS,,,,,False,
812103652,KENNETH EIMSTAD RESTAURANTDRIFT AS,,kenneth.eimstad@blender.no,,930 40 106,False,36.0
812105612,KATOMA INVEST AS,,,,,False,
812107232,KAITEKI CONSULTING AS,,jan.klabacka@kaiteki-consulting.com,,951 28 301,False,
812169742,KANE HOLDING AS,,,,,False,
812182072,KROG TRANSPORT AS,,,,90067402,False,10.0
812183052,KRIHAN INVEST AS,,,,,False,
812196332,KJÆREVIK HOLDING AS,,jkjaere@online.no,,416 49 119,False,
812199072,KRONSTAD INVEST AS,,,,,False,
812210262,KROPPEN AS,,,,,False,
812212982,KRAS AS,,,,,False,
812231022,KRISTIANSUND STADION AS,,rwi@ovgj.no,71 58 44 44,,False,
812259482,KAPERGAARDEN AS,,trond@kapergaarden.net,46 90 86 25,930 62 176,False,
812338692,KUNST OG KAOS AS,www.kunstogkaos.no,sigrid@kunstogkaos.no,,986 01 001,False,
812358472,KAMEL HOLDING AS,,,,,False,
812377132,KEL-BERG NORGE AS,,,,,False,
812391402,KAASENE GROUP AS,,,,,False,
812413902,KREDIN AS,www.kredin.no,support@kredin.no,,,False,6.0
812431242,KIDO HOLDING AS,,,,,False,
812435752,KM. TRANSPORT AS,,,,,False,5.0
812442252,KLEPSVIK INVEST AS,,vidar@klepsvik-sonn.no,56 33 81 90,,False,
812459392,KKA HOLDING AS,,,,,False,
812464582,KVALMO INVEST AS,,,,,False,
812532472,KONSULENTEN REIDAR NYGÅRD AS,,,,,False,
812574442,KOMA HOLDING AS,,,,,False,
812589792,KLIKK REGNSKAP AS,www.klikkregnskap.no,,,,False,
812604112,KALSTAD MASKIN AS,,,,906 23 605,False,8.0
812630032,KLAR SIKT AS,,,,,False,
812717642,KRAFTVERKET AS,,,,,False,5.0
812719122,KRONE AS,www.kroneforvaltning.no,kundeservice@kroneforvaltning.no,55 90 06 00,924 64 800,False,
812755382,KVÅSFOSSEN EIENDOM AS,,,,,False,
812790242,KANALTOMTA AS,,,,,False,
812824422,KAIMA HOLDING AS,,kmserv@online.no,90 93 67 92,,False,
812827642,KRÅKERØYTANNLEGENE AS,www.helsehustannlegene.no,krakeroytannlegene@gmail.com,69 33 11 16,,False,
812828002,K.M.OLSEN AS,,kaimorten@k2eiendom.no,,472 42 780,False,
812841122,KEJOH INVEST AS,,,,,False,
812891502,KTP HOLDING III AS,,,,,False,
812896032,KJØKKENDRIFT NO 1 FLEKKEFJORD AS,www.kitchn.no,post@kitchn.no,,,False,
812900552,KOLSTAD TRAFIKKSKOLE AS,,,,,False,
812971832,KONTORFELLESSKAPET SKØYEN AS,,nc@aall.no,,905 90 525,False,
812977342,KMTE AS,,,,,False,
812978802,KINGSPAN AS,,,,,False,8.0
812995022,KAI INVEST AS,,,,,False,
813013002,KVARTAL 71 AS,,post@entra.no,,,False,
813018152,KARAT GULL AS,,,,,False,
813019442,KLARE HODER AS,,,,,False,5.0
813048752,KLEMMAVEGEN 14 AS,,,,,False,
813072602,KAG7 AS,,,,,False,
813086522,KILLINGMO AS,,,,,False,
813111632,KJØITA 18 AS,,,,,False,
813123762,KIROPRAKTOR TRINE JAKOBSEN AS,,ja-trine@online.no,73 53 18 15,917 58 999,False,
813159082,KÅSASTUL HOLDING AS,,geir@dgm.no,95 25 33 01,,False,
813160072,KARLESTRAND UTVIKLING AS,,,,,False,
813162822,KIELLAND TORKILDSENS GATE 1 AS,,eilif.johannesen@airservice.no,,905 80 920,False,
813188082,KRISTOF INVEST AS,,,,,False,
813231972,KIRKEGATEN 22 INVEST AS,,,,,False,
813246112,KCR ELVERUM AS,www.pizzabakeren.no,elverum@pizzabakeren.no,62 69 99 69,907 90 273,False,22.0
813246422,KEIBOT AS,,,,,False,
813249472,KÅKONSULT AS,,,,,False,
813256312,KARLSEN TRAFIKKSKOLE AS,,,,,False,
813277662,KRISTOFFER KAARBØ AS,,,,,True,
813296942,KIROPRAKTOR HANS CHRISTIAN ERIKSEN AS,,,,,False,
813370042,KIRKERISTEN SKO AS,,,22422428,,False,
813388502,KRAGERØ SUSHI AS,,,99 88 72 18,,False,
813410362,KENMAR AS,,,,,False,
