organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
811598682,INOVI MUSIC AS,,,,99 10 80 00,False,
811699152,IBOLIG AS,,,,,False,
811718882,INNSIKT PÅ UTSIKTEN AS,,glennqh@hotmail.com,,990 32 244,False,
811784192,INTER-SUN AS,www.inter-sun.no,post@inter-sun.no,64 85 53 00,,True,35.0
811862452,IKO BYGG AS,www.hamn.no,ohf@hamnisenja.no,,905 05 422,False,
811881732,ILJ HOLDING AS,,,,,False,
811981842,IMPRESITIVE AS,,,,,False,
811990752,IMO CONSULTING AS,,,,,False,
812013742,INGENIØR HANS BECKER AS,,,22 78 78 40,,False,31.0
812085352,IK PROPERTY AS,,,,,False,
812129252,INTERIØRNETT AS,www.interiornett.as,,,,False,
812158392,INTERSHIP NORGE AS,,,,,False,
812245872,ICARUS GROUP AS,www.icarus.no,,,941 62 438,False,
812369652,INCONSPICUOUS AS,www.inconspicuous.no,mail@inconspicuous.no,,,False,
812381962,INNTA AS,,,,,False,8.0
812386522,INTHEBLUE AS,,,,,False,
812398032,INDEKSFORVALTNING AS,,,,,False,
812503472,INGVARDA INVEST AS,,mb@hitecvision.com,,992 94 338,False,
812517872,INFRA AS,,,,,False,
812532502,INTAKT BILSKADE KRISTIANSUND AS,,,,,False,19.0
812558412,INNOVATEK AS,,arnstein.jensen@crystals.no,,995 62 362,False,5.0
812571672,ICEBUG NORWAY SALES AS,,,,,False,
812667572,ILF CONSULTING ENGINEERS NORWAY AS,,,,,False,14.0
812755552,IS ADMIN AS,,,,,False,
812818902,IM MALVIK AS,,immalvik@gmail.com,,481 42 328,False,
812829432,INGVALD YSTGAARDSVEI 3B AS,,,,,False,
812843222,IVKO AS,,ivko@kollsgaard.net,,,False,
812855182,IDDA UTVIKLING AS,,post@kruse-smith.no,38 14 56 00,,False,
812966022,INDUSTRIFORSIKRING AS,,elisabeth.kjarnes.khantatat@hydro.com,22 53 81 00,,True,
812978942,INNHERREDSFERJA AS,,firmapost@fosen.no,73 89 07 00,,False,
812979612,ITAVDELING1 AS,,hakimi@itavdeling.com,,901 96 949,False,
813003252,ISOLA HOLDING AS,,isola@isola.no,35 57 57 00,,True,
813035782,IMA TURSENTER AS,www.ima-tursenter.no,,,,False,
813128772,INTELLIWEB AS,,,,,False,
813184532,INTERSPORT EIDSVOLL AS,,,,,False,12.0
813220512,IC SOLUTIONS AS,,tirvine_2005@yahoo.com,,40 72 99 85,False,
813261472,INGVALDSEN & MYRSTUEN AS,,,,476 80 996,False,
813278022,IRONWOOD AS,,,,,False,
813328372,ING. OLE H. ELTON AS,,ole.hermann.elton@movera-as.no,,477 19 742,False,
813348772,ISOKITT NORGE AS,,,,,False,
813385252,INPERCEPTA AS,www.inpercepta.no,thomas@inpercepta.no,,,False,
813493942,ICICLE AS,,,,,False,
813732432,IQ HOLDING AS,,,93 80 37 53,,False,
813735342,IHME BYGG AS,,ihme1@live.no,,992 58 656,False,8.0
813852292,INFINITTA AS,,infinitabygg@gmail.com,,994 60 116,False,
813969742,INSOLIA EIENDOMSDRIFT AS,,trond@regard.no,,951 19 189,False,7.0
