organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
811577022,ZIRQ CABLES AS,www.zirqsolutions.com,info@zirqsolutions.com,,,False,52.0
811732532,ZNAPIO AS,,,,,False,
811786012,Z ENERGI AS,,,,,False,
812484192,ZONDO NORGE AS,www.zondo.no,post@zondo.no,62 00 08 08,,False,
813550172,ZENARIO AS,,,,922 54 424,False,
814144402,ZINE MEDIA AS,,,,,False,
814308782,ZAKS FRISØR AS,,,,,False,
814638162,ZT INVEST AS,,,,,False,
814777812,ZEGEBA AS,www.zegeba.com,,,,False,19.0
816097762,ZUPERHERO AS,,erik.abrahamsen.no@gmail.com,,404 07 921,True,
816823862,ZELLUNA IMMUNOTHERAPY AS,,,,,False,20.0
816928672,ZOOPIT AS,zoopit.no,hei@zoopit.no,21 08 66 70,,False,7.0
817390412,ZAREPTA HOLDING AS,,,,,False,
817635032,ZENIT EIENDOM AS,,,,,False,
817812902,ZECURECODE AS,www.zecurecode.no,post@zecurecode.no,23 65 07 65,,False,
817886132,ZOO-1 STRYN AS,,,,,False,
818121652,ZANZIBAR INVEST AS,,,93 23 58 40,,False,
818883692,ZONCOLAN AS,,,,,False,
819278512,ZIGMA NUTRITION AS,,,,,False,
819696322,ZENERA AS,,,,,False,10.0
819826242,ZEE INVEST AS,,,,,False,
819985952,ZOKO BELLO INVEST AS,,,,,False,
820458842,ZEIT HOLDING AS,,leif.overaas@accountor.no,,907 45 045,False,
820497872,ZAFEPLACE AS,,,,,False,
820512332,ZEBRA MEDIA STAVANGER AS,www.zebramedia.no,christer@zebramedia.no,69 14 13 00,907 63 762,False,8.0
820708652,ZINO HOLDING AS,,,,,False,
820939492,ZEKI TRANSPORT AS,,,,,False,
821321042,ZEKTOR UTVIKLING AS,,post@zektor.no,,,False,
821888662,ZÅBRA EIENDOM AS,,henrik.hognestad@zaabra.no,,990 06 000,False,
823657412,ZATTIS BURSA AS,,,,,False,
823983662,ZUKUNFT AS,,,,,False,
824860092,ZUTLE AS,,,,,False,
825228462,ZERO EMISSION CARRIERS AS,,,4946315644700,+491629353374,False,
825409912,ZM BYGGSERVICE AS,,,,,False,
825803602,ZALA AS,,,,,False,
826019352,ZENERGY SOLUTIONS AS,,,,,False,
826288272,ZACHS CAPITAL AS,,,,,False,
826931442,ZBAIT AS,,,,,False,
826970502,ZAFE AS,,,,,False,6.0
827004162,ZIAYOGA AS,,,,,False,
827185272,Z LOVE DANSEKLUBB AS,,,,,False,
827212652,ZIVUE AS,,,,,False,
827452092,ZIRKO AS,,,,,False,11.0
827868612,ZETBU AS,,,,,False,
828410482,ZAN BYGG AS,,,,,False,
828913522,ZERMATT AS,,,,,False,
829265672,ZAFRAN HOLDING AS,,,,,False,
829375702,ZEEKR NORWAY AS,,,,,False,5.0
829408392,ZAK AS,,,,,False,
829591472,ZIP ENERGY AS,,simen.dyrstad@gmail.com,,936 58 642,False,
829607972,ZENSY II AS,,,,,False,
829611252,ZEWARAY AS,,,,,False,
829962462,ZENIFY AS,,,,,False,
830000402,ZIJO AS,,,,,False,9.0
830064702,ZENGLER INVEST AS,,,,,False,
830163832,ZNORKY AS,znorky.no,,,,False,
830831282,ZANDI INVEST AS,,,,,False,
831023112,ZEN EIENDOM AS,,,,,False,
