organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
811573272,WAL BYGG OG EIENDOM AS,walbe.no,post@walbe.no,,993 22 508,False,11.0
811584762,WTS RAIL AS,,,,,False,
811589292,WILLIAMSEN HOLDING AS,,kwilli@online.no,,996 93 051,False,
811695602,WEBLANCE AS,www.weblance.no,jonas@jonassjovaag.no,,928 42 902,False,
811796182,WEBPLATFORM AS,webplatform.no,,,,False,
811964042,WEBFOKUS AS,,,,,False,
812079042,WE ARE LIVE HOLDING AS,,,,,False,
812097342,WEBAVDELINGEN AS,,,,,False,
812101102,WEST-INVEST AS,,,70 19 95 00,,False,
812185152,WILHELMSEN INVEST INFRASTRUCTURE AS,,,67 58 40 00,,True,
812310542,WESSEL FORVALTNING AS,,wessel0427@hotmail.com,,907 27 331,False,
812415042,WABE HOLDING AS,,dan.belsnes@nov.com,,932 90 566,False,
812434292,WITTBANK INVEST AS,,,,,False,
812482122,WILL.I.JUICE AS,www.willijuice.no,wilhelm.nerland@willijuice.no,,455 19 441,False,18.0
812489542,WESSELSGT 7 AS,,,,404 14 412,False,
812684272,WIENERBRØDSKJÆRINGA HOLDING AS,,,,,False,
813107562,WINSTON VW VETERAN AS,,,,,False,
813206722,WAAL SNERTINGDALEN AS,,annelisewaal@gmail.com,,915 60 857,False,
813280612,WENNEBERG BYGG AS,,,,469 19 011,False,
813285452,WESTCON INVEST AS,,regnskap@westcon.no,,,False,
813579952,WINEMOODS AS,,,,,False,
813642042,WIIK MASKIN AS,,,,906 18 995,False,
813870932,WP HOSTING AS,,,,,False,7.0
813938782,WITO FRISØR AS,,,,911 70 076,False,
813997932,WABISABI AS,,,,,False,
814066622,WESENBERG AS,,,,,False,8.0
814113922,WAVERLY AS,,,,,False,
814199452,WRS HOLDING AS,,,,,False,
814718042,WERGELANDSV. 29 AS,,,,,False,
814739422,WRT AS,,robert.taasen@kvk.no,,,False,
814896692,WALDHERR AS,,,,951 64 637,False,
814970922,WEBOLOGY 2.0 AS,www.webology.no,halvor@webology.no,,47 96 00 01,False,
815070682,WILNOR GOVERNMENTAL SERVICES AS,,,,,True,6.0
815303822,WINS AS,,,,,False,
815326652,WHITE ROCK AS,,,,,False,
815465482,WATERFEED AS,,stian@waterfeed.no,90 56 99 96,,False,
815582292,WINDINGSTAD MAT AS,,,,,False,10.0
815808142,WATER COMPETENCE AS,,,,,False,
815845072,WRIGHT ENTERPRISE AS,,daniel@dpw.no,,482 37 160,False,
815906012,WELL EXPERTISE AS,,,,,False,39.0
815941462,WEGGEFILMS AS,,,,,False,
815951972,WESTSHORE AS,www.westshore.no,goran@westshore.no,38 12 36 00,900 12 241,False,
816201802,WIMP AS,,post@popcornfactory.no,,,False,78.0
816209722,WILLASSEN KYSTFISKE AS,,,,958 08 028,False,
816311012,WHITE FALCON AS,,,,,False,
816700132,WICKLUND-HANSEN INVEST AS,,,,,False,
816748682,WILD SIDE AS,,,,,False,
816855292,WEBKONSULT AS,,,,,False,
816867452,WHILVEST AS,,,,,False,
816881412,WICKNEGÅRDEN INVEST AS,,,,,False,
816916402,WILLIAMS CARAVAN AS,,,,,False,23.0
816936632,WESSELSGATE 22 A & B AS,,,,,False,
816994942,WILLMARIN AS,,,,,False,
817035442,WARPE AS,,,,,True,
817101852,WATCH-IT AS,,,,,True,
817104282,WEBSTER AS,,,,,False,
817244572,WEISSTECH AS,,,,,False,8.0
817322662,WAITS MOTION AS,,,,,False,
817379702,Wood Will AS,,hansecs@online.no,62 94 46 95,,False,
817441122,WESTBYE DESIGN AS,,,,,False,
817446892,WALDELAND MASKIN AS,,,,,False,
817712282,WEMBLEY SPORTS BAR AS,,,,,False,
817980562,WIKE AS,,,,,False,
818108982,WESTGAARD AS,,,,,False,
818131062,WIGGO ERICHSEN HOLDING AS,,,,,False,
818321872,W.E HOLDNING AS,,,,,False,
