organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte
811410012,PER ELLINGSEN AS,,,,,False,
811557552,PROHANDEL AS,,,,,False,
811671592,PLANKFONDS AS,,havard.aakeroy@gmail.com,,481 57 932,False,
811696072,PHANTIX AS,,,,,False,
811708712,PUNCHCARD INVEST AS,,kjetil@nyland.as,,472 02 357,False,
811713112,POWER SOLUTIONS MMO AS,www.powersolutions.no,post@powersolutions.no,,970 65 245,False,15.0
811727172,PANMAN AS,,,,958 15 253,False,
811757772,PLAN A AS,,adelekloeve@hotmail.com,,92 22 56 31,False,
811855162,PLASSEN FLORØ AS,,,,,False,
812093592,PERSVEIEN 23 AS,,,,,True,
812113372,PETROPROD AS,,,,,False,
812134922,PER-AAGE.COM AS,per-aage.com,eriksen@per-aage.com,,452 41 130,False,
812154702,PARK BILISTSENTER/ AS,,,,,False,
812168932,POLARGO AS,,,,,False,
812176382,PANZERBJÖRN AS,,,,,False,
812178512,PER HALGRIM PILTINGSRUD AS,,,,,False,
812183192,PRIMÆRKONTAKTEN FOR MUSKEL-OG SKJELETTPLAGER AS,,floro@florokiropraktorsenter.no,40 16 58 01,,False,
812188372,PARADIGME ØKONOMI AS,,,,,False,
812246542,PORTO AS,,mona@vvg.no,,,True,
812249312,PRO-GRESS FERDIGPLEN AS,www.pro-gress.no,admin@pro-gress.no,40 57 83 00,405 83 300,False,
812253212,PHOBOS TRADING AS,,enrique.ferrer@highandlow.biz,,934 80 588,False,
812288652,PURE FUTURE AS,,,,,False,
812319132,PÅLSNES UTBYGGING AS,,tt@monstro.biz,,91167067,False,
812366882,PÅL KLAUSEN HOLDING AS,,,,,False,
812529722,PEAK MANAGEMENT AS,,,,,False,
812642022,PINS & THINGS AS,,,,,False,
812652982,PÅSAN AS,,palthor70@gmail.com,,952 79 851,False,
812664522,PIXOTOPE TECHNOLOGIES AS,,,,,False,21.0
812667432,PEPPER NORGE AS,,t-kubara@online.no,,,False,66.0
