organisasjonsnummer,navn,hjemmeside,epostadresse,telefon,mobil,erIKonsern,antallAnsatte,registrertIForetaksregisteret
811569402,LIAHØIS VENNER,,,,,False,,False
811604062,LØDINGEN PADLEKLUBB,,folkikajakk@gmail.com,,905 71 151,False,,False
811611212,LESJA BARNEKOR,,trude.tokle@yahoo.no,,952 52 362,False,,False
811656992,LIVERBIRDS SARPSBORG,www.facebook.com/LiverbirdsSarpsborg,jarsae@online.no,,418 00 647,False,,False
811800562,LONGVA VEL,,jaar-l@online.no,,992 71 929,False,,False
811804762,LARDAL KANTORI,www.lardalkantori.no,kjell@hakestad.no,,988 51 800,False,,False
811873942,LC 68 ÅLGÅRD,,a.l@lyse.net,,950 80 226,False,,False
811917842,LANGLO SÆTERVEGLAG,,sverre44@live.no,,922 05 295,False,,False
811940372,LOGIN - LINJEFORENINGEN FOR IT,login.no,kontakt@login.no,,,False,,False
811986402,LEGFRANSISKANERNE I NORGE,,ofs@katolsk.no,,,False,,False
812054112,LUSTER FRP,,ernst.veum@hafslo.no,,,False,,False
812106112,LEAN FORUM ØSTFOLD,,gunnar.andersson@hiof.no,,,False,,False
812183982,LANDSFORENINGEN FOR PÅRØRENDE INNEN PSYKISK HELSE ASKER OG BÆRUM,,,,,False,,False
812207202,LEVANGER ROTARY KLUBB,Levanger.rotary.no,may-sj@online.no,,971 58 471,False,,False
812248162,LILLESTRØM CRICKET KLUBB,,lillestromck@gmail.com,98498511,92212103,False,,False
812381032,LEIRBOTNVANN HYTTEFORENING,www.leirbotnvann.no,paul@fagtrykkide.no,,906 92 384,False,,False
812596632,LANGESUND TURISTSERVICE,,,,,False,,False
812654292,LC-62 SKIEN,,siljeb_valen@live.no,,917 77 474,False,,False
812755692,LAPPEGRUPPA I ANDEBU,,torill.bruun@gmail.com,,950 16 716,False,,False
812830082,LANDEVEIEN VEILAG,,egjohns2@broadpark.no,,957 48 135,False,,False
813018942,LE CATHÉCHISME CATHOLIQUE FRANCOPHONE/DEN FRANSKTALENDE KATOLSK KATEKESE,communaute-catholique-francophone-doslo.webnode.fr/,catechisme.oslo@gmail.com,95 89 68 68,45564819,False,,False
813057972,LYSØYSUND DYKKERKLUBB,,lysoysund.dykkeklubb@gmail.com,,91118004,False,,False
813105942,LOPPEMARKEDET I KLOKKERGARDEN,,aud.huse@yahoo.no,,91565706,False,,False
813181622,LIONS CLUB BERGEN,,,,,False,,False
813222132,LANDSFORENINGEN FOR PÅRØRENDE INNEN PSYKISK HELSE SØRE SUNNMØRE,,aashildhh@gmail.com,,907 73 014,False,,False
813304902,LIBERALISTENE,www.lib.no,post@lib.no,,,False,,False
813326612,LUNNER NÆRINGSFORENING,,christine@yellomedia.no,,992 77 485,False,,False
813331802,LIBERAL LISTE VED UNIVERSITET I OSLO,,,,,False,,False
813386372,LAVONJARG VEL,,lavonjarg.vel@gmail.com,,,False,,False
813426552,LYNGDAL BYGDELAG,,harald@teksle.no,,976 82 912,False,,False
813480972,LAKSENS DAG,,,57 00 93 05,,False,,False
813499282,LIVERBIRDS SVALBARD,,,,,False,,False
813523582,LO PÅ NEDRE ROMERIKE,,,,,False,,False
813527782,LIONS CLUB SØRFOLD,,,,982 26 334,False,,False
813592142,LHL LEVANGER,,,,93205178,False,,False
813602962,LIVSGLEDE FOR ELDRE FRØYA,,ewerkland@gmail.com,,907 38 110,False,,False
813672472,LANDEGODE BÅTFORENING,,,,90574842,False,,False
813701472,LADIES CIRCLE 76 LYNGDAL,,kjersti.verdal@hotmail.no,,971 42 456,False,,False
813866552,LOVIK VANNVERK,,,,,False,,False
814016552,LANDSFORENINGEN FOR ETTERLATTE VED DRAP,,,,,False,,False
814105172,LAMPEPUSSERVEIEN VEILAG,,torgeir.rodsand@hotmail.no,,928 20 830,False,,False
814201872,LIE GRENDEFORENING,,,,952 39 230,False,,False
